"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Potty soft seat","190","","","baby products > other","","https://www.babyislandeg.com/shop/ry-302-1-potty-soft-seat-5346","https://www.babyislandeg.com/web/image/product.product/5690/image_1920?unique=92b3dbc","in_stock","Baby Island Egypt"
"junior GB mama 20pc","695","","","baby products > clothing","Junior","https://www.babyislandeg.com/shop/junior-gb-mama-20pc-2475","https://www.babyislandeg.com/web/image/product.product/2464/image_1920?unique=fe33282","out_of_stock","Baby Island Egypt"
"شيكو ببرونة بيرفكت ٢٤٠ مل لبني","450","","","baby products > other","","https://www.babyislandeg.com/shop/شيكو-ببرونة-بيرفكت-٢٤٠-مل-لبني-2452","https://www.babyislandeg.com/web/image/product.product/2441/image_1920?unique=fe33282","out_of_stock","Baby Island Egypt"
"kidilo k8 pro F Baby Stroller","4100","","","baby products > strollers","Kidilo","https://www.babyislandeg.com/shop/kidilo-k8-pro-f-baby-stroller-5359?attribute_values=2,4,209,152,150,151,206,205,222,220,156","https://www.babyislandeg.com/web/image/product.product/5803/image_1920?unique=608fbc3","out_of_stock","Baby Island Egypt"
"kidilo k8 pro F Baby Stroller","4100","","","baby products > strollers","Kidilo","https://www.babyislandeg.com/shop/kidilo-k8-pro-f-baby-stroller-5359?attribute_values=28,4,209,152,150,151,206,205,222,220,156","https://www.babyislandeg.com/web/image/product.product/5804/image_1920?unique=608fbc3","in_stock","Baby Island Egypt"
"kidilo k8 pro F Baby Stroller","4100","","","baby products > strollers","Kidilo","https://www.babyislandeg.com/shop/kidilo-k8-pro-f-baby-stroller-5359?attribute_values=14,4,209,152,150,151,206,205,222,220,156","https://www.babyislandeg.com/web/image/product.product/5805/image_1920?unique=608fbc3","in_stock","Baby Island Egypt"
"kidilo k8 pro F Baby Stroller","4100","","","baby products > strollers","Kidilo","https://www.babyislandeg.com/shop/kidilo-k8-pro-f-baby-stroller-5359?attribute_values=24,4,209,152,150,151,206,205,222,220,156","https://www.babyislandeg.com/web/image/product.product/5806/image_1920?unique=608fbc3","out_of_stock","Baby Island Egypt"
"Baby Feeding chair","1950","","","baby products > feeding","","https://www.babyislandeg.com/shop/baby-feeding-chair-2720?attribute_values=25","https://www.babyislandeg.com/web/image/product.product/3215/image_1920?unique=af56fda","out_of_stock","Baby Island Egypt"
"Baby Feeding chair","1950","","","baby products > feeding","","https://www.babyislandeg.com/shop/baby-feeding-chair-2720?attribute_values=14","https://www.babyislandeg.com/web/image/product.product/5280/image_1920?unique=af56fda","out_of_stock","Baby Island Egypt"
"Baby Feeding chair","1950","","","baby products > feeding","","https://www.babyislandeg.com/shop/baby-feeding-chair-2720?attribute_values=23","https://www.babyislandeg.com/web/image/product.product/3214/image_1920?unique=af56fda","in_stock","Baby Island Egypt"
