"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"DEPIWHITE ADVANCED","599","","","pharmacy > skin care","ACM","https://bashrety.tv/products/acm_depiwhite_advanced","https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60000_643b1b6d-d9c2-4e61-b21d-4d974625b583.jpg?v=1586554308","out_of_stock","Bashrety"
"DUOLYS EYE CONTOUR Cream","399","","","pharmacy > skin care","ACM","https://bashrety.tv/products/duolys-eye-contour-eye-contour-cream","https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60040.jpg?v=1641630276","in_stock","Bashrety"
"DEPIWHITE EYE CONTOUR GEL","399","","","pharmacy > skin care","ACM","https://bashrety.tv/products/acm_depiwhite_eye_contour_gel_","https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60003_e5254ab3-17e3-452a-b2cd-8206415845fc.jpg?v=1586554310","in_stock","Bashrety"
"NOVOPHANE ANTI-HAIR LOSS LOTION","839","","","pharmacy > hair care","ACM","https://bashrety.tv/products/acm_novophane_anti-hair_loss_lotion","https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60006_ec7f1701-f334-4076-b567-5c3ec00f4ea7.jpg?v=1586554313","out_of_stock","Bashrety"
"CICASTIM REPAIR CREAM","259","","","pharmacy > hair care","ACM","https://bashrety.tv/products/cicastim-repair-cream","https://cdn.shopify.com/s/files/1/0377/4460/7277/products/3_9ac5ad4d-36c5-4707-a26f-421e38160c14.jpg?v=1654088953","in_stock","Bashrety"
"DEPIWHITE MASK","539","","","pharmacy > skin care","ACM","https://bashrety.tv/products/acm_depiwhite_mask","https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60001_0b064e47-0ad8-4a89-bf48-5e8f228f6917.jpg?v=1586554312","in_stock","Bashrety"
"DEPIWHITE BODY MILK","599","","","pharmacy > body care","ACM","https://bashrety.tv/products/acm_depiwhite_body_milk","https://cdn.shopify.com/s/files/1/0377/4460/7277/files/ACMDepiwhite-1.jpg?v=1706447047","in_stock","Bashrety"
"SEBIONEX TRIO CREAM","409","","","pharmacy > skin care","ACM","https://bashrety.tv/products/acm-sebionex-trio-cream-with-salicylic-acid","https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60017_b1c37246-3dbf-415f-8b77-2a9aba926d60.jpg?v=1586554316","in_stock","Bashrety"
"MEDISUN MATTIFYING GEL SPF50+","569","","","pharmacy > sun care","ACM","https://bashrety.tv/products/medisun-mattifying-gel-spf50","https://cdn.shopify.com/s/files/1/0377/4460/7277/files/MEDISUN-MATTIFYING-GEL-SPF50.jpg?v=1726663331","in_stock","Bashrety"
"SEBIONEX CLEANSING GEL","459","","","pharmacy > skin care","ACM","https://bashrety.tv/products/acm_sebionex_cleansing_gel_","https://cdn.shopify.com/s/files/1/0377/4460/7277/products/60015new.jpg?v=1637827072","in_stock","Bashrety"
