"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Lenovo Legion for Mouse","165","220","25","Laptop Pc","","https://btech.com/en/p/ae601455-8fe7-492c-9052-27697ede9164?offering_id=856875fa-b437-4a57-a790-07c63ad319a4","https://dwecxxryy5p59.cloudfront.net/catalogs/1/e/d/0/1ed04d27333f01716e19534d56bd58a4aec6e567_6ebd777a65da3cafc583dbbd91a191200664032970d18bb4982e087bd9fa45fa.jpg","",""
"Lenovo LOQ 15IAX9 83GS00TYED Laptop","43450","43450","0","Laptop Pc","","https://btech.com/en/p/d7a19725-a1b7-421b-b0de-9f457541723f?offering_id=1c29a7f1-f557-4032-9174-d4723fc86aae","https://dwecxxryy5p59.cloudfront.net/catalogs/1/d/8/6/1d8606af6ed19b5112179a3aea79ac564f8721cd_imgi_163_LOQ_15IAX9_CT1_03.png","",""
"Dell Latitude 7400 Notebook Pre-owned Laptop","13400","13400","0","Laptop Pc","","https://btech.com/en/p/dell-latitude-7400-notebook-laptop-i5-8365u-256gb-ssd-16gb-ram-14-inch-uhd-620-windows-10-pro-black?offering_id=00328460-ca95-462a-b2f2-63b3ed9b7324","https://dwecxxryy5p59.cloudfront.net/catalogs/6/3/2/e/632ee62391e62fd50d6884236ac101e7787f16d7_B7000002266T.jpg","",""
"Monadikos for Apple MacBook Pro/Air, HP, Sony, Dell, More 10-15.6”","195","270","28","Laptop Pc","","https://btech.com/en/p/39e69173-dde3-4696-916a-9da0c975464b?offering_id=dbeb4316-a9fd-4161-86dd-1e63e857a4a7","https://dwecxxryy5p59.cloudfront.net/catalogs/e/c/b/3/ecb31b4a1cc66266cac2dddfc83b93dacacebf23_374c154e8cf7bf495867f44813be13375bf8e9f5691e65dd5601ed5cae7b3e21.jpg","",""
"Lenovo LOQ Essential 15IRX11-83SC001NED Laptop","52777","53399","1","Laptop Pc","","https://btech.com/en/p/65d2c2b5-5540-493b-bc53-b754062574c0?offering_id=ea56271d-bb45-4063-9759-734635097ee3","https://dwecxxryy5p59.cloudfront.net/catalogs/4/d/c/c/4dcc4c6d0b7fce2f02b275c9550fe05818f01cfc_imgi_161_LOQ_Essential_15IRX11_CT1_01.png","",""
"Lenovo Legion 27Q-10 27 Inch QHD Flat Gaming Monitor","11399","11399","0","Laptop Pc","","https://btech.com/en/p/3b0dccad-e2d4-413d-b176-bd69848f0001?offering_id=5e097d34-f6b0-4b73-9054-4f3b5af45e33","https://dwecxxryy5p59.cloudfront.net/catalogs/7/c/6/7/7c67489c87120d888838072523c5f53edda7aaf7_Lenovo_Legion_27Q_10_CT2_01.jpeg","",""
"HP EliteBook 845 G8 Laptop","17800","17800","0","Laptop Pc","","https://btech.com/en/p/a84a821a-5837-4378-95bd-2ecaf796af07?offering_id=0c536734-b9fa-4a27-92e3-b27f21a65244","https://dwecxxryy5p59.cloudfront.net/catalogs/b/5/0/0/b5000eec309ee2cef8f209618249657eb0344486_kjdbkxjvh98e7w8q90.png","",""
"Samsung Odyssey G5 G55C 32 Inch QHD Monitor","10299","10299","0","Laptop Pc","","https://btech.com/en/p/samsung-32-inch-qhd-va-gaming-monitor-ls32cg552emxeg?offering_id=213e7569-3a74-4a49-bc6d-cb5f162dd072","https://dwecxxryy5p59.cloudfront.net/catalogs/7/2/d/9/72d953310fc14dc09264fac41373218644244a72_c8b39efbdfaf70d73dae76df761ee469a8c554aabd639180adcddaeb87a73c67.jpeg","",""
"Asus TUF Gaming F16 2025 FX608JHR-RV057W Laptop","59999","62118","3","Laptop Pc","","https://btech.com/en/p/78f52ff5-ac4e-4928-a126-19a6823b760a?offering_id=5ce7f6d5-5ea2-44d8-b970-264565bc11c9","https://dwecxxryy5p59.cloudfront.net/catalogs/b/4/7/d/b47df625676ebbb3657381012c881522a2616604_download.jpg","",""
"Lenovo LOQ 15ARP9 Gaming Laptop","39699","39699","0","Laptop Pc","","https://btech.com/en/p/67c1a67f-981f-4ba9-989a-22f592b6d356?offering_id=e34f6cb2-d450-4130-bfb8-b37a7d636bf8","https://dwecxxryy5p59.cloudfront.net/catalogs/b/e/1/4/be14c05df547d6465456d9f6ef32ed1ceacf3b11_LOQ_15ARP9_CT1_03.jpg","",""
