"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"SAMSUNG 43"" Full HD F6000 Smart TV 43F6000F","14249","16192","12","electronics > tvs","SAMSUNG","https://cairosales.com/en/tvs-screens/samsung-43-inch-fhd-smart-tv-43f6000.html","https://cairosales.com/120368-large_default/samsung-43-inch-fhd-smart-tv-43f6000.jpg","in_stock","Cairo Sales"
"LG 43 Inch Nano AI NU85 4K Smart TV Magic Remote 43NU850B6LA","18999","21110","10","electronics > tvs","LG","https://cairosales.com/en/tvs-screens/lg-43-inch-nano-ai-nu85-4k-smart-tv-magic-remote-43nu850b6la.html","https://cairosales.com/133662-large_default/lg-43-inch-nano-ai-nu85-4k-smart-tv-magic-remote-43nu850b6la.jpg","in_stock","Cairo Sales"
"SAMSUNG 75-inch Crystal UHD 4K Smart TV 75U8000F","33499","38067","12","electronics > tvs","SAMSUNG","https://cairosales.com/en/tvs-screens/samsung-75-inch-crystal-uhd-4k-smart-tv-75u8000f.html","https://cairosales.com/126242-large_default/samsung-75-inch-crystal-uhd-4k-smart-tv-75u8000f.jpg","in_stock","Cairo Sales"
"Haier 65 Inch 4K UHD Smart QLED TV","29099","31629","8","electronics > tvs","Haier","https://cairosales.com/en/tvs-screens/haier-65-inch-4k-uhd-smart-qled-tv-with-built-in-receiver-h65s90eu.html","https://cairosales.com/104346-large_default/haier-65-inch-4k-uhd-smart-qled-tv-with-built-in-receiver-h65s90eu.jpg","in_stock","Cairo Sales"
"LG 65 inch LG QNED evo AI MiniLED QNED84 4K VRR 144Hz Smart AI TV Magic remote WebOS26 65QNED84B6T","38199","42443","10","electronics > tvs","LG","https://cairosales.com/en/tvs-screens/lg-65-inch-lg-qned-evo-ai-miniled-qned84-4k-vrr-144hz-smart-ai-tv-magic-remote-webos26-65qned84b6t.html","https://cairosales.com/135144-large_default/lg-65-inch-lg-qned-evo-ai-miniled-qned84-4k-vrr-144hz-smart-ai-tv-magic-remote-webos26-65qned84b6t.jpg","in_stock","Cairo Sales"
"LG 65 inch QNED AI QNED72 4K Mini LED Smart 65QNED72B6T","30299","33666","10","electronics > tvs","LG","https://cairosales.com/en/tvs-screens/lg-65-inch-qned-ai-qned72-4k-mini-led-smart-65qned72b6t.html","https://cairosales.com/135115-large_default/lg-65-inch-qned-ai-qned72-4k-mini-led-smart-65qned72b6t.jpg","in_stock","Cairo Sales"
"LG 55 Inch Nano AI NU84 4K Smart TV Magic Remote 55NU840B6LA","20999","23332","10","electronics > tvs","LG","https://cairosales.com/en/tvs-screens/lg-55-inch-nano-ai-nu84-4k-smart-tv-magic-remote-55nu840b6la.html","https://cairosales.com/134890-large_default/lg-55-inch-nano-ai-nu84-4k-smart-tv-magic-remote-55nu840b6la.jpg","in_stock","Cairo Sales"
"LG 50 Inch Nano AI NU84 4K Smart TV Magic Remote 50NU840B6LA","18799","20888","10","electronics > tvs","LG","https://cairosales.com/en/tvs-screens/lg-50-inch-nano-ai-nu84-4k-smart-tv-magic-remote-50nu840b6la.html","https://cairosales.com/134875-large_default/lg-50-inch-nano-ai-nu84-4k-smart-tv-magic-remote-50nu840b6la.jpg","in_stock","Cairo Sales"
"TORNADO 32 LED TV HD Smart Frameless","8299","9021","8","electronics > tvs","Tornado","https://cairosales.com/en/tvs-screens/tornado-32-led-tv-hd-smart-frameless-with-built-in-receiver-32ea6500e.html","https://cairosales.com/133482-large_default/tornado-32-led-tv-hd-smart-frameless-with-built-in-receiver-32ea6500e.jpg","in_stock","Cairo Sales"
"SAMSUNG 65-inch Crystal UHD 4K Smart TV 65U8000H","27990","31807","12","electronics > tvs","SAMSUNG","https://cairosales.com/en/tvs-screens/samsung-65-inch-crystal-uhd-4k-smart-tv-65u8000h.html","https://cairosales.com/133283-large_default/samsung-65-inch-crystal-uhd-4k-smart-tv-65u8000h.jpg","in_stock","Cairo Sales"
