"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Fv-185 Wireless Mouse 1600Dpi - 2.4Ghz 10M Range -","288","","","electronics > computer components","FOREV","https://www.compumarts.com/products/forev-fv-185-wireless-mouse-1600dpi-2-4ghz-10m-range?variant=43209516449941","https://cdn.shopify.com/s/files/1/0622/7050/5109/products/FOREV-FV-185_04.jpg?v=1667228236","in_stock","Compumarts Egypt"
"Fv-185 Wireless Mouse 1600Dpi - 2.4Ghz 10M Range -","288","","","electronics > computer components","FOREV","https://www.compumarts.com/products/forev-fv-185-wireless-mouse-1600dpi-2-4ghz-10m-range?variant=43209516482709","https://cdn.shopify.com/s/files/1/0622/7050/5109/products/FOREV-FV-185_02.jpg?v=1667228236","in_stock","Compumarts Egypt"
"Fv-185 Wireless Mouse 1600Dpi - 2.4Ghz 10M Range -","288","","","electronics > computer components","FOREV","https://www.compumarts.com/products/forev-fv-185-wireless-mouse-1600dpi-2-4ghz-10m-range?variant=43209516581013","https://cdn.shopify.com/s/files/1/0622/7050/5109/products/FOREV-FV-185_03.jpg?v=1667228236","in_stock","Compumarts Egypt"
"Charger DELL/19.5V/4.62A/ High copy","1","","","electronics > laptops","DELL","https://www.compumarts.com/products/charger-dell-19-5v-4-62a-high-copy?variant=42651731591317","https://cdn.shopify.com/s/files/1/0622/7050/5109/products/Charger_04.jpg?v=1668442320","out_of_stock","Compumarts Egypt"
"Atlas VGA Holder ARGB","1","","","electronics > computer cases","XIGMATEK","https://www.compumarts.com/products/xigmatek-atlas-vga-holder-argb?variant=42797378404501","https://cdn.shopify.com/s/files/1/0622/7050/5109/products/XIGMATEK-Atlas-VGA-Holder-ARGB_01.jpg?v=1663791469","out_of_stock","Compumarts Egypt"
"USB-C TO HDMI-VGA AUX OTN-9573S","1","","","electronics > accessories","ONTEN","https://www.compumarts.com/products/onten-usb-c-to-hdmi-vga-aux-otn-9573s?variant=42986079617173","https://cdn.shopify.com/s/files/1/0622/7050/5109/products/ONTEN-USB-C-TO-HDMI-VGA-_-AUX-OTN-9573S_02.jpg?v=1669129674","out_of_stock","Compumarts Egypt"
"DisplayPort (Mini DP) to DisplayPort (DP) Cable, 1.8 m,","1","","","electronics > accessories","Generic","https://www.compumarts.com/products/mini-display-port-cable-black?variant=43250668011669","https://cdn.shopify.com/s/files/1/0622/7050/5109/files/DisplayPort_02.jpg?v=1691664122","out_of_stock","Compumarts Egypt"
"FV-Q307 Gaming Metal Panel RGB Keyboard","1","","","electronics > accessories","FOREV","https://www.compumarts.com/products/fovev-fv-q307-gaming-rgb-keyboard?variant=43377379737749","https://cdn.shopify.com/s/files/1/0622/7050/5109/products/FOVEV-FV-Q307-Gaming_02.jpg?v=1681734952","out_of_stock","Compumarts Egypt"
"USB Mouse For PC & Laptop - G-211-E -","1","","","electronics > accessories","GIGAMAX","https://www.compumarts.com/products/gigamax-usb-mouse-for-pc-laptop-g-211-e?variant=43192218517653","https://cdn.shopify.com/s/files/1/0622/7050/5109/products/mouse_02_ee451f50-ff4c-43ae-93e4-9bb8032e4804.jpg?v=1674741954","out_of_stock","Compumarts Egypt"
"USB Mouse For PC & Laptop - G-211-E -","1","","","electronics > accessories","GIGAMAX","https://www.compumarts.com/products/gigamax-usb-mouse-for-pc-laptop-g-211-e?variant=43192218550421","https://cdn.shopify.com/s/files/1/0622/7050/5109/products/mouse_04_c17a8589-1733-4b9d-9db0-b1e938596b3d.jpg?v=1674741955","out_of_stock","Compumarts Egypt"
