"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Abu Auf Chocolate Maamoul 12 Pieces","95","","","","Abu Auf","https://cstore-egy.com/nasrcity_store_en/abu-auf-chocolate-maamoul-12-pieces.html","https://cstore-egy.com/nasrcity_store_en/media/catalog/product/cache/abb26ec7d3aecacf123a2c86145b5ff8/p/r/product_image_6223006311473.jpeg","in_stock","C Store"
"Abu Auf Peanut Butter Creamy 330 g","113","","","","Abu Auf","https://cstore-egy.com/nasrcity_store_en/abu-auf-smooth-peanut-butter-330g.html","https://cstore-egy.com/nasrcity_store_en/media/catalog/product/cache/abb26ec7d3aecacf123a2c86145b5ff8/p/r/product_image_6223004763762.jpeg","in_stock","C Store"
"Davidoff Rich Aroma 100g","425","","","","","https://cstore-egy.com/nasrcity_store_en/davidoff-rich-aroma-100g.html","https://cstore-egy.com/nasrcity_store_en/media/catalog/product/cache/abb26ec7d3aecacf123a2c86145b5ff8/p/r/product_image_4006067084188.jpeg","in_stock","C Store"
"Davidoff Fine Aroma 100g","425","","","","","https://cstore-egy.com/nasrcity_store_en/davidoff-fine-aroma-100g.html","https://cstore-egy.com/nasrcity_store_en/media/catalog/product/cache/abb26ec7d3aecacf123a2c86145b5ff8/_/1/_100__4.jpg","in_stock","C Store"
"Dolce Gusto Cappuccino 16 Capsules","455","","","","","https://cstore-egy.com/nasrcity_store_en/dolce-gusto-cappuccino-16-capsules.html","https://cstore-egy.com/nasrcity_store_en/media/catalog/product/cache/abb26ec7d3aecacf123a2c86145b5ff8/p/r/product_image_7613036306270.jpeg","in_stock","C Store"
"Nespresso Volluto 10 Capsules","475","","","","","https://cstore-egy.com/nasrcity_store_en/nespresso-volluto-10-capsules.html","https://cstore-egy.com/nasrcity_store_en/media/catalog/product/cache/abb26ec7d3aecacf123a2c86145b5ff8/p/r/product_image_7630751781915.jpeg","in_stock","C Store"
"Dolce Gusto Mocha 16 Capsules","455","","","","","https://cstore-egy.com/nasrcity_store_en/dolce-gusto-mocha-16-capsules.html","https://cstore-egy.com/nasrcity_store_en/media/catalog/product/cache/abb26ec7d3aecacf123a2c86145b5ff8/p/r/product_image_8445290694881.jpeg","in_stock","C Store"
"Colombia 10 Capsules","175","","","","","https://cstore-egy.com/nasrcity_store_en/colombia-10-capsules.html","https://cstore-egy.com/nasrcity_store_en/media/catalog/product/cache/abb26ec7d3aecacf123a2c86145b5ff8/_/1/_10__5.jpg","in_stock","C Store"
"Abu Auf Caramel & Cinnamon Popcorn 100g","30","","","","Abu Auf","https://cstore-egy.com/nasrcity_store_en/abu-auf-caramel-cinnamon-popcorn-100g.html","https://cstore-egy.com/nasrcity_store_en/media/catalog/product/cache/abb26ec7d3aecacf123a2c86145b5ff8/p/r/product_image_6223004760945.jpeg","in_stock","C Store"
"Abu Auf Caramel Popcorn 100g","30","","","","Abu Auf","https://cstore-egy.com/nasrcity_store_en/abu-auf-caramel-popcorn-100g.html","https://cstore-egy.com/nasrcity_store_en/media/catalog/product/cache/abb26ec7d3aecacf123a2c86145b5ff8/p/r/product_image_6223004760938.jpeg","in_stock","C Store"
