"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"RUN ACTIVE GRIP MEN'S RUNNING SHOES","2899","","","sports","Kalenji","https://www.decathlon.eg/en/p/100428-9862-run-active-grip-men-s-running-shoes-black-grey.html","https://contents.mediadecathlon.com/p2155481/k$de8f244645ed7fe40c46748228003a88/active-.jpg?format=auto&quality=40&f=800x800","in_stock","KALENJI"
"500 Aluminium Bike Multitool","849","","","sports > urban-sports","Decathlon","https://www.decathlon.eg/en/p/100441-123601-500-aluminium-bike-multitool.html","https://contents.mediadecathlon.com/p2373227/k$cc12541392f00647fb27de74ccb29691/500-aluminium-bike-multitool.jpg?format=auto&quality=40&f=800x800","in_stock","DECATHLON"
"Internal Bottom Bracket Removal Tool (Square Taper Octalink and Isis)","849","","","sports > urban-sports","Decathlon","https://www.decathlon.eg/en/p/100520-134812-internal-bottom-bracket-removal-tool-square-taper-octalink-and-isis.html","https://contents.mediadecathlon.com/p1925511/k$2f41cef47c42df6fd642b657ba939236/internal-bottom-bracket-removal-tool-square-taper-octalink-and-isis.jpg?format=auto&quality=40&f=800x800","in_stock","DECATHLON"
"Bike Crank Extractor","1399","","","sports > urban-sports","Decathlon","https://www.decathlon.eg/en/p/100521-123881-bike-crank-extractor.html","https://contents.mediadecathlon.com/p2281644/k$4aea5e67714a071990b11195aecfa571/bike-crank-extractor.jpg?format=auto&quality=40&f=800x800","in_stock","DECATHLON"
"Bike Tool Box 750 ml","649","","","sports > urban-sports","Decathlon","https://www.decathlon.eg/en/p/100539-147476-bike-tool-box-750-ml.html","https://contents.mediadecathlon.com/p780803/k$6fa8667ba9b62fbbf926c291f1c90253/bike-tool-box-750-ml.jpg?format=auto&quality=40&f=800x800","in_stock","DECATHLON"
"12X32 8-Speed Cassette","1499","","","sports > urban-sports","Decathlon","https://www.decathlon.eg/en/p/100587-7952-12x32-8-speed-cassette.html","https://contents.mediadecathlon.com/p2605426/k$447d3e7bdca2e9c11432139786ca97ef/-812x32.jpg?format=auto&quality=40&f=800x800","in_stock","DECATHLON"
"3 to 6 Speed Rear Derailleur","1399","","","sports > urban-sports","Decathlon","https://www.decathlon.eg/en/p/100591-12030-3-to-6-speed-rear-derailleur.html","https://contents.mediadecathlon.com/p2605419/k$eb9141923a3d1350f3f6adabfaf27479/3-to-6-speed-rear-derailleur.jpg?format=auto&quality=40&f=800x800","in_stock","DECATHLON"
"26"" Inner Tube Twin-Pack","319","","","sports > urban-sports","Decathlon","https://www.decathlon.eg/en/p/102-853-26-inner-tube-twin-pack.html","https://contents.mediadecathlon.com/p1108014/k$6604073b9abd15b5818c45d84f97ca52/-26-17-22-schrader-.jpg?format=auto&quality=40&f=800x800","in_stock","DECATHLON"
"Kids’ 2 mm neoprene shorty, SNK 100 Jr navy","2799","","","sports > water-sports","Decathlon","https://www.decathlon.eg/en/p/102002-39368-kids-2-mm-neoprene-shorty-snk-100-jr-navy.html","https://contents.mediadecathlon.com/p3064041/k$016265181b8a5e29db9f30767d8f5d54/100-2mm-kids-snorkelling-shorty-navy-blue.jpg?format=auto&quality=40&f=800x800","in_stock","DECATHLON"
"Kids' Snorkelling Fins Mask Snorkel Set SNK 500 -Blue Grey Pastel Mint","2499","","","sports > water-sports","Decathlon","https://www.decathlon.eg/en/p/102181-136309-kids-snorkelling-fins-mask-snorkel-set-snk-500-blue-grey-pastel-mint.html","https://contents.mediadecathlon.com/p2163124/k$20f607f84c75ffa1cf54495baabfe47a/kids-snorkelling-kit-mask-snorkel-snk-500-blue-black.jpg?format=auto&quality=40&f=800x800","in_stock","DECATHLON"
