"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"MAONO MH700 Wired Headset - Black","3500","","","Gaming Headset","Maono","https://www.dokkantech.com/products/maono-mh700-gaming-headset-black","","No","Maono"
"Redragon H510 Zeus-X RGB Wired Gaming Headset - 7.1 Surround Sound - 53MM Audio","2499","","","Gaming Headset","Redragon","https://www.dokkantech.com/products/redragon-h510-zeus-x-rgb-wired-gaming-headset-7-1-surround-sound-53mm-audio-drivers-in-memory-foam-ear-pads-w-durable-fabric-cover-multi-platforms-headphone","","No","Redragon"
"Redragon Rift G710 Gamer Controller for PC and PS3 - Black and Red","1299","1495","13","Gamepad","Redragon","https://www.dokkantech.com/products/redragon-rift-g710-gamer-controller-for-pc-and-ps3-black-and-red","","Yes","Redragon"
"Redragon M816-STD Wireless Gaming Mouse","1399","","","Gaming Mouse","Redragon","https://www.dokkantech.com/products/redragon-m816-std-wireless-gaming-mouse","","Yes","Redragon"
"Redragon G711 Controller Gaming Forge Wireless Multi-Platform RGB Programmable - Black","1599","1839","13","Gamepad","Redragon","https://www.dokkantech.com/products/redragon-g711-controller-gaming-forge-wireless-multi-platform-rgb-programmable-black","","Yes","Redragon"
"Redragon H510 Zeus Wired Gaming Headset - Black","1999","2299","13","Gaming Headset","Redragon","https://www.dokkantech.com/products/redragon-h510-zeus-wired-gaming-headset-black","","Yes","Redragon"
"Redragon SKULD PRO H878 — Tri-Mode Wireless Gaming Headset with 7.1 Surround Sound","2499","","","Gaming Headset","Redragon","https://www.dokkantech.com/products/redragon-skuld-pro-h878-tri-mode-wireless-gaming-headset-with-7-1-surround-sound","","Yes","Redragon"
"Logitech Zone 300 Wireless Bluetooth Headset With Noise-Cancelling Microphone - Black","4649","","","Headset","Logitech","https://www.dokkantech.com/products/logitech-zone-300-wireless-bluetooth-headset-with-noise-cancelling-microphone","","Yes","Logitech"
"Apple AirPods 4 – White","6999","","","TWS Earbuds","Apple","https://www.dokkantech.com/products/apple-airpods-4-white","","Yes","Apple"
"Apple 20W USB-C Power Adapter – White - EU","1199","","","Charger","Apple","https://www.dokkantech.com/products/apple-20w-usb-c-power-adapter-white","","Yes","Apple"
