"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"شاومي ريدمي 15C، رامات 8 جيجابايت، 256 جيجابايت - برتقالي","9399","11300","1901","موبايلات","","https://dream2000.com/xiaomi-redmi-15c-8gb-ram-256gb-twilight-orange-1-html.html","https://r2media.horizondm.com/catalog/product/cache/0918f55aacda4c1ef9fc64cfdb7fd758/_/-/_-_2025-09-09t101428.842.jpg","",""
"شاومي ريدمي 15C، رامات 8 جيجابايت، 256 جيجابايت - مينت جرين","9399","11300","1901","موبايلات","","https://dream2000.com/xiaomi-redmi-15c-8gb-ram-256gb-mint-green.html","https://r2media.horizondm.com/catalog/product/cache/0918f55aacda4c1ef9fc64cfdb7fd758/_/-/_-_2025-09-09t103154.294.jpg","",""
"فيفو V60 5G، رامات 12 جيجابايت، 256 جيجابايت - رمادي","26990","32400","5410","موبايلات","","https://dream2000.com/vivo-v60-5g-12gb-ram-256gb-mist-grey-1-html.html","https://r2media.horizondm.com/catalog/product/cache/0918f55aacda4c1ef9fc64cfdb7fd758/_/-/_-_2025-09-13t112004.727.jpg","",""
"فيفو V60 5G، رامات 12 جيجابايت، 256 جيجابايت - ذهبي","26990","32400","5410","موبايلات","","https://dream2000.com/vivo-v60-5g-12gb-ram-256gb-auspicious-gold.html","https://r2media.horizondm.com/catalog/product/cache/0918f55aacda4c1ef9fc64cfdb7fd758/_/-/_-_2025-09-13t112727.403.jpg","",""
"انفينيكس هوت 60 برو، رامات 8 جيجابايت، 256 جيجابايت - اسود","11290","13600","2310","موبايلات","","https://dream2000.com/infinix-hot-60-pro-8gb-ram-256gb-black.html","https://r2media.horizondm.com/catalog/product/cache/0918f55aacda4c1ef9fc64cfdb7fd758/_/-/_-_2025-09-13t170221.020.jpg","",""
"انفينيكس هوت 60 برو، رامات 8 جيجابايت، 256 جيجابايت - فضي","11290","13600","2310","موبايلات","","https://dream2000.com/infinix-hot-60-pro-8gb-ram-256gb-titanium-silver.html","https://r2media.horizondm.com/catalog/product/cache/0918f55aacda4c1ef9fc64cfdb7fd758/_/-/_-_2025-09-13t173525.671.jpg","",""
"سامسونج جالكسي A07، رامات 4 جيجابايت، 64 جيجابايت - أسود","6490","7800","1310","موبايلات","","https://dream2000.com/samsung-galaxy-a07-4gb-ram-64gb-black.html","https://r2media.horizondm.com/catalog/product/cache/0918f55aacda4c1ef9fc64cfdb7fd758/_/-/_-_2025-09-16t103932.579.jpg","",""
"سامسونج جالكسي A07، رامات 4 جيجابايت، 128 جيجابايت - أسود","7725","9300","1575","موبايلات","","https://dream2000.com/samsung-galaxy-a07-4gb-ram-128gb-black-1-html.html","https://r2media.horizondm.com/catalog/product/cache/0918f55aacda4c1ef9fc64cfdb7fd758/_/-/_-_2025-09-16t103932.579_1.jpg","",""
"سامسونج جالكسي A07، رامات 6 جيجابايت، 128 جيجابايت - أسود","8490","10200","1710","موبايلات","","https://dream2000.com/samsung-galaxy-a07-6gb-ram-128gb-black.html","https://r2media.horizondm.com/catalog/product/cache/0918f55aacda4c1ef9fc64cfdb7fd758/_/-/_-_2025-09-16t103932.579_1_1.jpg","",""
"شاومي ريدمي 15C، رامات 6 جيجابايت، 128 جيجابايت - مينت جرين","8299","10000","1701","موبايلات","","https://dream2000.com/xiaomi-redmi-15c-8gb-ram-256gb-mint-green-1.html","https://r2media.horizondm.com/catalog/product/cache/0918f55aacda4c1ef9fc64cfdb7fd758/_/-/_-_2025-09-09t103154.294_1.jpg","",""
