"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Air Pure Pet Proud Carpet Freshner Wild Country Flowers 350G","207.5","","","Air Fresheners","","https://mahmoudelfar.com/en/products/إير-بيور-معطر-سجادة-فخر-الحيوانات-برائحة-زهور-البراري-350-جم-5060194137062","https://elfarblobprod.blob.core.windows.net/elfar/product/44896/trimmed_1766509057_199672.webp","out_of_stock","Mahmoud El Far Market"
"Anasam box incense pyramid anasam Emerald 10 pieces","99.5","","","Air Fresheners","","https://mahmoudelfar.com/en/products/انسام-علبة-بخورهرمي-أنسام-زمرد-10-قطع-6224009969975","https://elfarblobprod.blob.core.windows.net/elfar/product/15139/trimmed_1766508145_191200.webp","in_stock","Mahmoud El Far Market"
"And tray incense sticks Galaxy Ansam Al-Andalus 40 cm / 12 m","66","","","Air Fresheners","","https://mahmoudelfar.com/en/products/انسام-علبة-بخور-عيدان-جلاكسي-أنسام-الأندلس-40-سم-/-12-ملم-6224009969272","https://elfarblobprod.blob.core.windows.net/elfar/product/15128/trimmed_1766508145_191194.webp","in_stock","Mahmoud El Far Market"
"Ansaam Alandalos Incense Sticks 10 per pack","42.5","","","Air Fresheners","","https://mahmoudelfar.com/en/products/انسام-علبة-بخور-عيدان-أنسام-الأندلس-40-سم-10-أعواد-6224009969524","https://elfarblobprod.blob.core.windows.net/elfar/product/27377/trimmed_1766508149_191258.webp","in_stock","Mahmoud El Far Market"
"Ansaam Alandalos Mini Galaxy Incense Sticks","42.5","","","Air Fresheners","","https://mahmoudelfar.com/en/products/انسام-علبة-أعواد-بخور-مينى-جلاكسي-أنسام-الأندلس-5-أعواد-6223007570077","https://elfarblobprod.blob.core.windows.net/elfar/product/15095/trimmed_1766508145_191191.webp","in_stock","Mahmoud El Far Market"
"Ansaam Arabesque Incense Sticks 5 per pack","66","","","Air Fresheners","","https://mahmoudelfar.com/en/products/انسام-علبة-بخور-عيدان-جلاكسي-أرابيسك-40-سم-/-12-ملم-5-أعو-6224009969593","https://elfarblobprod.blob.core.windows.net/elfar/product/27381/trimmed_1766508149_191262.webp","out_of_stock","Mahmoud El Far Market"
"Ansaam Arabesque Mini Incense Sticks","42.5","","","Air Fresheners","","https://mahmoudelfar.com/en/products/انسام-علبة-أعواد-بخور-مينى-جلاكسي-أرابيسك-أعواد-5-أعواد-6223007570084","https://elfarblobprod.blob.core.windows.net/elfar/product/15096/trimmed_1766508145_191192.webp","in_stock","Mahmoud El Far Market"
"Ansaam Bkhoor Conical Incense Box (Arabesque) - 15 Pieces","52.5","","","Air Fresheners","","https://mahmoudelfar.com/en/products/أنسام-علبة-بخور-مخروطى-(-أرابيسك-)-15-قطعة-6223007570763","https://elfarblobprod.blob.core.windows.net/elfar/product/39978/trimmed_1766508528_196081.webp","in_stock","Mahmoud El Far Market"
"Ansaam Kahraman Incense Pyramids Arabian Scent 10 per pack","77.5","","","Air Fresheners","","https://mahmoudelfar.com/en/products/انسام-علبة-بخورهرمي-أنسام-كهرمان-10-قطع-6224009969982","https://elfarblobprod.blob.core.windows.net/elfar/product/27382/trimmed_1766508149_191263.webp","in_stock","Mahmoud El Far Market"
"Ansaam Rooh Almusk Incense Sticks 10 per pack","42.5","","","Air Fresheners","","https://mahmoudelfar.com/en/products/انسام-علبة-بخور-عيدان-روح-المسك-40-سم-10-أعواد-6224009969531","https://elfarblobprod.blob.core.windows.net/elfar/product/27378/trimmed_1766508149_191259.webp","in_stock","Mahmoud El Far Market"
