"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Infinix Smart 20 Dual SIM Mobile 128GB Memory 4GB RAM 4G LTE","6600","6900","4.35","electronics > mobiles","Infinix","https://elghazawy.com/en/product/38074270300293/Infinix+Smart+20+Dual+SIM+Mobile+128GB+Memory+4GB+RAM+4G+LTE+-+Cloudline+Blue","https://elghazawy.b-cdn.net/276545/Infinix-Smart-20-%281%29.webp","in_stock","Elghazawy Shop"
"Samsung Galaxy S10 FE Plus Tablet","35900","9600","","electronics > mobiles","Samsung","https://elghazawy.com/en/product/38074270292937/Samsung+Galaxy+S10+FE+Plus+Tablet%2C+13.1+Inch+Display%2C+256GB+Internal+Memory%2C+12+GB+RAM%2C+5G+%2C+Silver","https://elghazawy.b-cdn.net/246900/Samsung-Galaxy-S10-FE-Plus--1.webp","in_stock","Elghazawy Shop"
"Touch Screen 5D","85","","","mobile accessories > mobile covers","Touch","https://elghazawy.com/en/product/181101/Touch+Screen+5D","https://elghazawy.b-cdn.net/77723/85.webp","in_stock","Elghazawy Shop"
"Fabric Back Case for iPhone 14 Pro Max","230","","","mobile accessories > mobile covers","Fabric","https://elghazawy.com/en/product/38074270286637/Fabric+Back+Case+for+iPhone+14+Pro+Max%2C+Purple","https://elghazawy.b-cdn.net/219365/IMG_9703-1.webp","in_stock","Elghazawy Shop"
"Realme Note 60X Dual SIM 128GB 4GB RAM 4G LTE","6790","6999","2.99","electronics > mobiles","Realme","https://elghazawy.com/en/product/38074270287726/Realme+Note+60X+Dual+SIM+128GB+4GB+RAM+4G+LTE+-+Black","https://elghazawy.b-cdn.net/222998/2.webp","in_stock","Elghazawy Shop"
"Green Lion 4 in 1 Transparent Back Case Cover for iPhone 14 Pro Max","800","","","mobile accessories > mobile covers","Green","https://elghazawy.com/en/product/38074270286617/Green+Lion+4+in+1+Transparent+Back+Case+Cover+for+iPhone+14+Pro+Max","https://elghazawy.b-cdn.net/219825/IMG_9670-2--1.webp","in_stock","Elghazawy Shop"
"Redmi Note 15 Dual SIM 256GB 8GB RAM 4G LTE","12299","12999","5.39","electronics > mobiles","Redmi","https://elghazawy.com/en/product/38074270296670/Redmi+Note+15+Dual+SIM+256GB+8GB+RAM+4G+LTE+-+Green","https://elghazawy.b-cdn.net/262543/Redmi-Note-15-Dual-SIM%2C-256GB-Memory%2C-8GB-RAM%2C-4G-LTE%2C-Forest-Green-%281%29.webp","in_stock","Elghazawy Shop"
"Samsung Galaxy A57 5G Dual SIM 512GB 12GB RAM","34490","37160","7.19","electronics > mobiles","Samsung","https://elghazawy.com/en/product/38074270299795/Samsung+Galaxy+A57+5G+Dual+SIM+512GB+12GB+RAM+-+Awesome+Lilac","https://elghazawy.b-cdn.net/274688/Samsung-Galaxy-A57-%281%29.webp","in_stock","Elghazawy Shop"
"Samsung Galaxy A07 4G LTE Dual SIM 128GB 4GB RAM","7500","7725","2.91","electronics > mobiles","Samsung","https://elghazawy.com/en/product/38074270292275/Samsung+Galaxy+A07+4G+LTE+Dual+SIM+128GB+4GB+RAM+-+Black","https://elghazawy.b-cdn.net/243388/Samsung-Galaxy-A07-Dual-SIM-Mobile--64GB-Internal-Memory--4GB-RAM--4G-LTE--1.webp","in_stock","Elghazawy Shop"
"Redmi A7 Pro 4G LTE Dual SIM 64GB 4GB RAM","6199","6399","3.13","electronics > mobiles","Redmi","https://elghazawy.com/en/product/38074270300112/Redmi+A7+Pro+4G+LTE+Dual+SIM+64GB+4GB+RAM+-+Black","https://elghazawy.b-cdn.net/275912/Redmi-A7-Pro-%281%29.webp","in_stock","Elghazawy Shop"
