"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Eva Senses Hair Mist Floral Whisper","108","120","10","beauty > hair care","Eva Senses","https://www.shop.eva-cosmetics.com/products/eva-senses-hair-mist-floral-whisper-100-ml","https://cdn.shopify.com/s/files/1/0700/9488/0959/files/92031.jpg?v=1766944023","in_stock","EVA Shop"
"Eva Senses Hair Mist","108","120","10","beauty > hair care","Eva Senses","https://www.shop.eva-cosmetics.com/products/eva-senses-hair-mist-frosted-skies-100-ml","https://cdn.shopify.com/s/files/1/0700/9488/0959/files/92034.jpg?v=1766944024","in_stock","EVA Shop"
"Eva Senses Hair Mist","108","120","10","beauty > hair care","Eva Senses","https://www.shop.eva-cosmetics.com/products/eva-senses-hair-mist-pure-joy-100-ml","https://cdn.shopify.com/s/files/1/0700/9488/0959/files/92033.jpg?v=1766944023","in_stock","EVA Shop"
"Gold & Summer + Free","440","660","33.33","beauty > body care","Gold &","https://www.shop.eva-cosmetics.com/products/clouds-cozy-spring-lilies-free-copy","https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7730.jpg?v=1781098138","in_stock","EVA Shop"
"Clouds & Cozy + Free","440","660","33.33","beauty > body care","Clouds &","https://www.shop.eva-cosmetics.com/products/clouds-gold-mystic-orchid-free-copy","https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7731.jpg?v=1781098138","in_stock","EVA Shop"
"Clouds & Gold + Free","440","660","33.33","beauty > body care","Clouds &","https://www.shop.eva-cosmetics.com/products/clouds-gold-spring-lilies-free-copy","https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7732.jpg?v=1781098138","in_stock","EVA Shop"
"Clouds & Gold + Free","440","660","33.33","beauty > body care","Clouds &","https://www.shop.eva-cosmetics.com/products/clouds-gold-morning-blossom-free-copy","https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7733.jpg?v=1781098138","in_stock","EVA Shop"
"Clouds & Gold + Free","440","660","33.33","beauty > body care","Clouds &","https://www.shop.eva-cosmetics.com/products/clouds-gold-night-out-free-copy-1","https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7734.jpg?v=1781098138","in_stock","EVA Shop"
"Clouds & Gold + Free","440","660","33.33","beauty > body care","Clouds &","https://www.shop.eva-cosmetics.com/products/clouds-gold-love-tale-free-copy","https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7735.jpg?v=1781098137","in_stock","EVA Shop"
"Clouds & Gold + Free","440","660","33.33","beauty > body care","Clouds &","https://www.shop.eva-cosmetics.com/products/clouds-gold-night-out-free-copy","https://cdn.shopify.com/s/files/1/0700/9488/0959/files/IMG_7736.jpg?v=1781098139","in_stock","EVA Shop"
