"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Fresh Electric Oven","5125.01","6250","18","home > kitchenware","Fresh","https://fresh.com.eg/en/product/fresh-electric-oven-65-liters-led-knob-grill-and-fan","https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/o/v/oven_65_l_led_knob_2_.png","in_stock","Fresh"
"Fresh Dishwasher 60cm","18978.3","23430","19","home > laundry","Fresh","https://fresh.com.eg/en/product/fresh-dishwasher-60cm-stainless-steel","https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/f/i/file_52.jpg","in_stock","Fresh"
"Fresh Dishwasher 60cm","17512.2","21620","19","home > laundry","Fresh","https://fresh.com.eg/en/product/fresh-dishwasher-60cm-silver","https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/f/i/file_51_4.jpg","in_stock","Fresh"
"Fresh Washing Machine 09 Kgs G2-CG","23993.19","31570","24","home > laundry","Fresh","https://fresh.com.eg/en/product/fresh-washing-machine-09-kgs-inverter-direct-drive-g2-cg","https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/9/k/9k-cg-g2_1_.jpg","in_stock","Fresh"
"Fresh Chest Freezer Extra Duetto FDF-330, 255 Liters","13844.75","17525","21","home > appliances","Fresh","https://fresh.com.eg/en/product/fresh-chest-freezer-extra-duetto-fdf-330-255-liters","https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/3/3/330_1.jpg","in_stock","Fresh"
"Fresh Washing Machine 09 Kgs G1-CG","23636","31100","24","home > laundry","Fresh","https://fresh.com.eg/en/product/fresh-washing-machine-09-kgs-inverter-direct-drive-g1-cg","https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/9/_/9_kg_g1_cg_1_.jpg","in_stock","Fresh"
"Fresh Refrigerator 471 Liters Flat Door","28495.3","36070","21","home > appliances","Fresh","https://fresh.com.eg/en/product/fresh-refrigerator-471-liters-inverter-flat-door-st-fnt-ls580-yit-fld","https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/s/i/silver-ref-front_2.jpg","in_stock","Fresh"
"Fresh Mini Bar Refrigerator FMB-70 S","6730.8","8520","21","home > appliances","Fresh","https://fresh.com.eg/en/product/fresh-mini-bar-refrigerator-fmb-70-s-45-l-silver","https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/_/1/_1_1_.jpg","in_stock","Fresh"
"Fresh Upright Freezer FNU-LR270IBC","24012.05","30395","21","home > appliances","Fresh","https://fresh.com.eg/en/product/fresh-upright-freezer-inverter-fnu-lr270ibc-6-drawers-black","https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/5/d/5dr_black_2_1__1.jpg","in_stock","Fresh"
"Fresh Refrigerator 397 Liters","22436","28400","21","home > appliances","Fresh","https://fresh.com.eg/en/product/fresh-refrigerator-397-liters-black-matt-fnt-br470-bmb","https://be.fresh.com.eg/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/b/r/br470bmb.jpg","in_stock","Fresh"
