"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"PLAIN MOULDED SILICONE C","799","","","sports > accessories","Speedo","https://eg.gosportme.com/products/100399393","https://cdn.shopify.com/s/files/1/0581/9940/8663/files/SD100399393-Main.jpg?v=1745685279","in_stock","Go Sport"
"1.524M OLYMPIC STEEL BAR WITH 2 COLLARS","4359","","","sports > equipment","Liveup","https://eg.gosportme.com/products/ls2271","https://cdn.shopify.com/s/files/1/0581/9940/8663/products/LS2271_Main.jpg?v=1744809984","in_stock","Go Sport"
"1.83M OLYMPIC STEEL BAR WITH 2 COLLARS","4199","","","sports > equipment","Liveup","https://eg.gosportme.com/products/ls2272","https://cdn.shopify.com/s/files/1/0581/9940/8663/products/LS2272_Main.jpg?v=1744809984","in_stock","Go Sport"
"14 THREAED BAR WITH TWO STAR COLLARS (35CM)","646","","","sports > equipment","Liveup","https://eg.gosportme.com/products/ls2201-35","https://cdn.shopify.com/s/files/1/0581/9940/8663/products/LS2201-35_Main.jpg?v=1744809990","in_stock","Go Sport"
"15.8 THREAED BAR WITH TWO STAR COLLARS (40CM)","819","","","sports > equipment","Liveup","https://eg.gosportme.com/products/ls2201-40","https://cdn.shopify.com/s/files/1/0581/9940/8663/products/LS2201-40_Main.jpg?v=1744809990","in_stock","Go Sport"
"2 Pieces Arena Unisex Ear Plug","649","","","sports > accessories","Arena","https://eg.gosportme.com/products/000029126","https://cdn.shopify.com/s/files/1/0581/9940/8663/files/000029126-1.jpg?v=1740483065","in_stock","Go Sport"
"2 Pieces Arena Unisex Ear Plug","649","","","sports > accessories","Arena","https://eg.gosportme.com/products/000029127","https://cdn.shopify.com/s/files/1/0581/9940/8663/files/000029127-1.jpg?v=1740483068","in_stock","Go Sport"
"2 Pieces Arena Unisex Ear Plug","649","","","sports > accessories","Arena","https://eg.gosportme.com/products/000029129","https://cdn.shopify.com/s/files/1/0581/9940/8663/files/000029129-1.jpg?v=1740483071","in_stock","Go Sport"
"2.2M OLYMPIC STEEL BAR WITH COLLORS","4599","","","sports > equipment","Liveup","https://eg.gosportme.com/products/ls2273","https://cdn.shopify.com/s/files/1/0581/9940/8663/products/LS2273_Main.jpg?v=1744809983","in_stock","Go Sport"
"3-Stripes Rubber X3 Basketball","1799","","","sports > accessories","Adidas","https://eg.gosportme.com/products/hm4970","https://cdn.shopify.com/s/files/1/0581/9940/8663/files/HM4970.jpg?v=1780326995","in_stock","Go Sport"
