"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Ragab El-Attar Himalayan Salt - 1K","145","","","Food Cupboard","","https://www.hyperone.com.eg/en/product/1-6224009547784","","IN_STOCK",""
"Ragab El-Attar Black Seeds - 200g","100","","","Food Cupboard","","https://www.hyperone.com.eg/en/product/200-6224009547739","","IN_STOCK",""
"Ragab El-Attar Group of Natural Nourishing & Lengthening Hair Oils - 250ml","320","","","Food Cupboard","","https://www.hyperone.com.eg/en/product/250-6223004446054","","IN_STOCK",""
"Ragab El-Attar Group of Natural Anti-Fall Hair Oils - 250ml","380","","","Food Cupboard","","https://www.hyperone.com.eg/en/product/250-6223004446061","","IN_STOCK",""
"Ragab El-Attar Whole Oats - 500g","98","","","Food Cupboard","","https://www.hyperone.com.eg/en/product/500-6224009547708","","IN_STOCK",""
"Ragab El-Attar Kofta Spices - 100g","75","","","Food Cupboard","","https://www.hyperone.com.eg/en/product/100-6224009547258","","IN_STOCK",""
"Ragab El-Attar Whole White Pepper - 100g","160","","","Food Cupboard","","https://www.hyperone.com.eg/en/product/100-6224009547180","","IN_STOCK",""
"Ragab El-Attar Whole Cumin - 100g","80","","","Food Cupboard","","https://www.hyperone.com.eg/en/product/100-6224009547142","","IN_STOCK",""
"AlKhatib Kabsa Rice Spices","560","","","Food Cupboard","","https://www.hyperone.com.eg/en/product/2399119000000","","IN_STOCK",""
"AlKhatib Cinnamon Oil","85","","","Food Cupboard","","https://www.hyperone.com.eg/en/product/9611001110493","","IN_STOCK",""
