"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"LEN","399","","","Baby & children","IKEA","https://www.ikea.com/eg/en/p/len-pillow-for-cot-white-00028508/","https://www.ikea.com/eg/en/images/products/len-pillow-for-cot-white__0598616_pe677730_s5.jpg","",""
"KONCIS","349","","","Kitchenware & tableware","IKEA","https://www.ikea.com/eg/en/p/koncis-can-opener-stainless-steel-00081534/","https://www.ikea.com/eg/en/images/products/koncis-can-opener-stainless-steel__0713018_pe729197_s5.jpg","",""
"KONCIS","349","","","Kitchenware & tableware","IKEA","https://www.ikea.com/eg/en/p/koncis-garlic-press-stainless-steel-00089163/","https://www.ikea.com/eg/en/images/products/koncis-garlic-press-stainless-steel__0713019_pe729198_s5.jpg","",""
"MYDAL","24995","","","Beds & mattresses","IKEA","https://www.ikea.com/eg/en/p/mydal-bunk-bed-frame-pine-00102452/","https://www.ikea.com/eg/en/images/products/mydal-bunk-bed-frame-pine__0636259_pe697760_s5.jpg","",""
"SAMLA","999","","","Decoration","IKEA","https://www.ikea.com/eg/en/p/samla-box-transparent-00102975/","https://www.ikea.com/eg/en/images/products/samla-box-transparent__0711135_pe728003_s5.jpg","",""
"MALM","5995","","","Storage furniture","IKEA","https://www.ikea.com/eg/en/p/malm-chest-of-2-drawers-black-brown-00103343/","https://www.ikea.com/eg/en/images/products/malm-chest-of-2-drawers-black-brown__1154559_pe886158_s5.jpg","",""
"LACK","2995","","","Tables & chairs","IKEA","https://www.ikea.com/eg/en/p/lack-coffee-table-white-80449901/","https://www.ikea.com/eg/en/images/products/lack-coffee-table-white__0750651_pe746801_s5.jpg","",""
"SAMLA","949","","","Decoration","IKEA","https://www.ikea.com/eg/en/p/samla-box-transparent-00130129/","https://www.ikea.com/eg/en/images/products/samla-box-transparent__0711136_pe728025_s5.jpg","",""
"GOSIG GOLDEN","1299","","","Baby & children","IKEA","https://www.ikea.com/eg/en/p/gosig-golden-soft-toy-dog-golden-retriever-00132798/","https://www.ikea.com/eg/en/images/products/gosig-golden-soft-toy-dog-golden-retriever__0710164_pe727367_s5.jpg","",""
"FABLER BJÖRN","99","","","Baby & children","IKEA","https://www.ikea.com/eg/en/p/fabler-bjoern-soft-toy-beige-00141401/","https://www.ikea.com/eg/en/images/products/fabler-bjoern-soft-toy-beige__0710165_pe727396_s5.jpg","",""
