"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Arena Spider Goggles","1149","","","sports > swimming","Arena","https://www.intersport.com.eg/products/3468336379141-arena-china-unisex-google","https://cdn.shopify.com/s/files/1/0676/9613/2316/products/3468336379141a.jpg?v=1703003760","in_stock","INTERSPORT Egypt"
"Firefly Swimming Short For Men","569","1099","48.23","sports > swimming","Firefly","https://www.intersport.com.eg/products/ins-302316-firefly-pink-women-china-36","https://cdn.shopify.com/s/files/1/0676/9613/2316/files/7611312033650b_2__1_-removebg-preview.png?v=1715595995","in_stock","INTERSPORT Egypt"
"Arena Spider Jr Goggles","1299","","","sports > swimming","Arena","https://www.intersport.com.eg/products/3468336380246-arena-china-junior-google","https://cdn.shopify.com/s/files/1/0676/9613/2316/products/92338173b.jpg?v=1703004456","in_stock","INTERSPORT Egypt"
"Arena Pool Jr Set Kids","1199","","","sports > swimming","Arena","https://www.intersport.com.eg/products/ins-3468334661354-arena-silver-unisex-china-n-a","https://cdn.shopify.com/s/files/1/0676/9613/2316/products/3468334661354a.jpg?v=1703004459","in_stock","INTERSPORT Egypt"
"Arena Pool Set Goggles+Cap","1399","","","sports > swimming","Arena","https://www.intersport.com.eg/products/3468334661347-arena-china-unisex-google-cap","https://cdn.shopify.com/s/files/1/0676/9613/2316/products/9242255a.png?v=1703004467","in_stock","INTERSPORT Egypt"
"Arena Tracks Mirror Goggles","1899","","","sports > swimming","Arena","https://www.intersport.com.eg/products/3468335550176-arena-china-unisex-google","https://cdn.shopify.com/s/files/1/0676/9613/2316/products/9237034a.jpg?v=1703004474","in_stock","INTERSPORT Egypt"
"Arena Tracks Goggles","1499","","","sports > swimming","Arena","https://www.intersport.com.eg/products/3468335470573-arena-china-unisex-google","https://cdn.shopify.com/s/files/1/0676/9613/2316/products/9234195a.jpg?v=1703004502","in_stock","INTERSPORT Egypt"
"Arena Tracks Unisex","1499","","","sports > swimming","Arena","https://www.intersport.com.eg/products/ins-3468333251099-arena-white-unisex-china-n-a","https://cdn.shopify.com/s/files/1/0676/9613/2316/products/3468333251099a.png?v=1703004512","in_stock","INTERSPORT Egypt"
"Arena Spider Jr Goggles","1299","","","sports > swimming","Arena","https://www.intersport.com.eg/products/3468333252263-arena-china-junior-google","https://cdn.shopify.com/s/files/1/0676/9613/2316/products/9233891a.jpg?v=1703004516","in_stock","INTERSPORT Egypt"
"Arena Spider Jr Kids","1299","","","sports > swimming","Arena","https://www.intersport.com.eg/products/ins-3468333252287-arena-navy-unisex-china-n-a","https://cdn.shopify.com/s/files/1/0676/9613/2316/products/3468333252287a.png?v=1703004525","in_stock","INTERSPORT Egypt"
