"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Zhiyun Smooth 5E Combo Phone Gimbal Stabilizer","5899","","","electronics > accessories","ZHIYUN","https://kimostore.net/products/zhiyun-smooth-5e-combo-phone-gimbal-stabilizer","https://cdn.shopify.com/s/files/1/0554/5594/0776/files/ZhiyunSmooth5EComboPhoneGimbalStabilizer_10.jpg?v=1781190436","in_stock","Kimo Store"
"Teamgroup T-FORCE DELTA RGB RAM 32GB DDR5 6000MHz - Black","23000","","","electronics > computer > components","TEAMGROUP","https://kimostore.net/products/teamgroup-t-force-delta-rgb-ram-32gb-ddr5-6400mhz-black","https://cdn.shopify.com/s/files/1/0554/5594/0776/files/TeamgroupT-FORCEDELTARGBRAM32GBDDR56000MHz-Black_1_404e44a6-b068-41aa-962b-5eb4eac20b5d.jpg?v=1780317847","in_stock","Kimo Store"
"AeroCool P500C Evo ARGB Gaming Mid Tower Case - White","5999","","","electronics > computer > components","AEROCOOL","https://kimostore.net/products/aerocool-p500c-evo-argb-gaming-mid-tower-case-white","https://cdn.shopify.com/s/files/1/0554/5594/0776/files/AeroCoolP500CEvoARGBGamingMidTowerCase-White_5.jpg?v=1777200132","in_stock","Kimo Store"
"Stainless Rotation Security Camera Bracket L-Shape (60cm)","195","","","electronics > security","GENERIC","https://kimostore.net/products/stainless-rotation-security-camera-bracket-l-shape-60cm","https://cdn.shopify.com/s/files/1/0554/5594/0776/files/StainlessRotationSecurityCameraBracketL-Shape_60cm_2.jpg?v=1771332830","in_stock","Kimo Store"
"VGR Straightener Brush V-592","649","","","personal care > hair care","VGR","https://kimostore.net/products/vgr-straightener-brush-v-592","https://cdn.shopify.com/s/files/1/0554/5594/0776/files/VGRStraightenerBrushV-592_7.jpg?v=1766056511","out_of_stock","Kimo Store"
"Golon RX-M70BT Portable Radio Speaker 1.0 - Black","522","650","19.69","electronics > audio","GOLON","https://kimostore.net/products/golon-rx-m70bt-portable-radio-speaker-1-0","https://cdn.shopify.com/s/files/1/0554/5594/0776/files/GolonRX-M70BTPortableRadioSpeaker1.0-Black_3_307a7a85-77c5-47f9-9552-35249c5c112b.jpg?v=1776254380","in_stock","Kimo Store"
"Dell Latitude 7410 Laptop (Intel Core i5-10310U - 16GB DDR4 - M.2 256GB - Intel UHD Graphics - 14.0 Inch FHD - Cam) Original Used","13600","","","electronics > computer > laptops","DELL","https://kimostore.net/products/dell-latitude-7410-laptop-intel-core-i5-10310u-16gb-ddr4-m-2-256gb-intel-uhd-graphics-14-0-inch-fhd-cam-original-used","https://cdn.shopify.com/s/files/1/0554/5594/0776/files/DellLatitude7410Laptop_IntelCorei5-10310U-16GBDDR4-M.2256GB-IntelUHDGraphics-14.0InchFHD-Cam_OriginalUsed_1.png?v=1732624146","in_stock","Kimo Store"
"Fresh Wall Fan Brilliant 16 Inch","1422","","","home > appliances","FRESH","https://kimostore.net/products/fresh-wall-fan-brilliant-16-inch","https://cdn.shopify.com/s/files/1/0554/5594/0776/files/FreshWallFanBrilliant16Inch_2_2bd2dd25-d1e2-4506-8fb3-bab884861751.jpg?v=1777819073","in_stock","Kimo Store"
"General TL-4 Kit Softbox With 4 Lamp Holder","1595","1700","6.18","electronics > accessories","GENERAL","https://kimostore.net/products/general-tl-4-kit-softbox-with-4-lamp-holder","https://cdn.shopify.com/s/files/1/0554/5594/0776/files/GeneralTL-4KitSoftboxWith4LampHolder.jpg?v=1781190011","in_stock","Kimo Store"
"Zero HDMI Splitter To 4 HDMI","350","","","electronics > computer > monitors","ZERO","https://kimostore.net/products/zero-hdmi-splitter-to-4-hdmi","https://cdn.shopify.com/s/files/1/0554/5594/0776/files/ZeroHDMISplitterTo4HDMI.jpg?v=1781187801","in_stock","Kimo Store"
