"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"18H HD Matte Powder Found 020N","490.5","545","10","beauty > makeup","CATRICE","https://mazaya.eg/en/18h-hd-matte-powder-found-020n","https://www.mazaya.eg/media/catalog/product/4/0/4059729393784_image_front_view_half_open.png?store=en&image-type=image","out_of_stock","Mazaya"
"1Million ELIXIR PARF INTENSE","8000","","","beauty > fragrances","PACO RABANNE","https://mazaya.eg/en/1million-elixir-parf-intense-200ml","https://www.mazaya.eg/media/catalog/product/3/3/3349668600298.jpg","out_of_stock","Mazaya"
"2 in 1 base & top coat","180","200","10","beauty > makeup","Essence","https://mazaya.eg/en/2-in-1-base-top-coat","https://www.mazaya.eg/media/catalog/product/4/0/4059729466877_image_front_view_closed.png?store=en&image-type=image","in_stock","Mazaya"
"20H Ultra Gel Eye Pencil WP 110","234","260","10","beauty > makeup","CATRICE","https://mazaya.eg/en/20h-ultra-gel-eye-pencil-wp-110","https://www.mazaya.eg/media/catalog/product/4/0/4059729444370_image_front_view_full_open.png?store=en&image-type=image","in_stock","Mazaya"
"212 VIP EDP LE 24","6900","","","beauty > fragrances","CAROLINA HERRERA","https://mazaya.eg/en/212-vip-black-edp-le-24-100ml","https://www.mazaya.eg/media/catalog/product/8/4/8411061093818-.jpg","out_of_stock","Mazaya"
"212 VIP MAN EDT","6000","","","beauty > fragrances","CAROLINA HERRERA","https://mazaya.eg/en/212-vip-man-200ml-edt","https://www.mazaya.eg/media/catalog/product/8/4/8411061782347-.jpg","out_of_stock","Mazaya"
"212 VIP MEN EDP-","7800","","","beauty > fragrances","CAROLINA HERRERA","https://mazaya.eg/en/212-vip-men-black-edp-100-ml","https://www.mazaya.eg/media/catalog/product/8/4/8411061105009_3_.jpg","out_of_stock","Mazaya"
"212 VIP MEN EDP-","5900","","","beauty > fragrances","CAROLINA HERRERA","https://mazaya.eg/en/212-vip-men-black-edp-50-ml","https://www.mazaya.eg/media/catalog/product/8/4/8411061105009_3_.jpg","out_of_stock","Mazaya"
"212 VIP MEN EDT REPACK","5300","","","beauty > fragrances","CAROLINA HERRERA","https://mazaya.eg/en/212-vip-men-edt-100ml-repack","https://www.mazaya.eg/media/catalog/product/8/4/8411061723760.jpeg","out_of_stock","Mazaya"
"212 VIP","8900","","","beauty > fragrances","CAROLINA HERRERA","https://mazaya.eg/en/212-vip-rose-125ml","https://www.mazaya.eg/media/catalog/product/8/4/8411061838778_1.jpg","out_of_stock","Mazaya"
