"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Alsherif premium Dinner set, 38 pieces for 6 persons, round, 100% melamine","4699","4999","6","home > tableware","Alsherif Melamine","https://meercato.com/en/alsherif-premium-dinner-set-38-pieces-for-6-persons-round-100-melamine-red.html","https://meercato.com/media/catalog/product/6/2/6221189787382_1_2_.webp","in_stock","Meercato"
"Cleaning Mop Set with Bucket High Quality, Steel with Plastic","1299","1649","21.23","home > homeware","","https://meercato.com/en/cleaning-mob-set-with-bucket-high-quality-steel-with-plastic-light-grey.html","https://meercato.com/media/catalog/product/1/8/1800110000518_1_.webp","out_of_stock","Meercato"
"Alsherif premium Dinner set, 38 pieces for 6 persons, round, 100% melamine - Mix blue","4699","4999","6","home > tableware","Alsherif Melamine","https://meercato.com/en/alsherif-premium-dinner-set-38-pieces-for-6-persons-round-100-melamine-mix-blue.html","https://meercato.com/media/catalog/product/6/2/6221189795615_1_.webp","in_stock","Meercato"
"Golden Decoration Arabic Coffee Set, 6 Pieces, Porcelain, White","669","749","10.68","home > drinkware","Rosa","https://meercato.com/en/golden-decoration-arabic-coffee-set-6-pieces-porcelain-white-gold.html","https://meercato.com/media/catalog/product/6/2/6222058512517_2_copy.webp","out_of_stock","Meercato"
"Zinnia Pyramid Double Wall Glass Mug Set, 2 Pieces, 260Ml, Borosilicate Glass","299","","","home > drinkware","Zinnia","https://meercato.com/en/zinnia-pyramid-double-wall-glass-mug-set-2-pieces-260ml-borosilicate-glass-transparent.html","https://meercato.com/media/catalog/product/6/2/6220196000064_1_.webp","in_stock","Meercato"
"Strainer Set, 5 Pieces, Stainless Steel, Round Shape","599","749","20.03","home > kitchen-tools","","https://meercato.com/en/strainer-set-5-pieces-stainless-steel-round-shape-silver.html","https://meercato.com/media/catalog/product/1/5/1500510000221_pt_1_.webp","out_of_stock","Meercato"
"Cleaning Mop Set with Bucket High Quality Plastic with Wheels - Grey with Orange Handle","1399","1699","17.66","home > homeware","","https://meercato.com/en/cleaning-mob-set-with-bucket-high-quality-plastic-with-wheels-grey-with-orange-handle.html","https://meercato.com/media/catalog/product/1/8/1800110000519.webp","out_of_stock","Meercato"
"Free Cook Grater with Storage Box and Handle, Stainless Steel with Plastic Body","149","219","31.96","home > kitchen-tools","Free Cook","https://meercato.com/en/free-cook-grater-with-storage-box-and-handle-stainless-steel-with-plastic-body-olive.html","https://meercato.com/media/catalog/product/1/5/1500110000810_2_.webp","out_of_stock","Meercato"
"Manual Vegetable Chopper, Plastic with Stainless Steel Blades, Grey","649","749","13.35","home > kitchen-tools","","https://meercato.com/en/manual-vegetable-chopper-plastic-with-stainless-steel-blades-blue.html","https://meercato.com/media/catalog/product/6/9/6987549487339-pt_2.webp","out_of_stock","Meercato"
"Free Cook Grater with Storage Box and Handle, Stainless Steel with Plastic Body","149","219","31.96","home > kitchen-tools","Free Cook","https://meercato.com/en/free-cook-grater-with-storage-box-and-handle-stainless-steel-with-plastic-body-grey.html","https://meercato.com/media/catalog/product/1/5/1500110000809_2_.webp","out_of_stock","Meercato"
