"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Imported Apricot -1Kg","149.99","","","Fruit > Fresh Fruit > Fresh Fruit > weighted /Pcs.","","https://www.metro-markets.com/product/p/1","","",""
"Imported Peaches-1Kg","430.5","","","Fruit > Fresh Fruit > Fresh Fruit > weighted /Pcs.","","https://www.metro-markets.com/product/p/2","","",""
"Samany Yellow Dates 1Kg","42","","","Fruit > Fresh Fruit > Fresh Fruit > weighted /Pcs.","","https://www.metro-markets.com/product/p/3","","",""
"Esperio Grape -1Kg","79.99","89.99","11.1","Fruit > Fresh Fruit > Fresh Fruit > weighted /Pcs.","","https://www.metro-markets.com/product/p/5","","",""
"Fresh Cantaloupe - 1kg","23.99","","","Fruit > Fresh Fruit > Fresh Fruit > weighted /Pcs.","","https://www.metro-markets.com/product/p/6","","",""
"Royal Gala Red Apples - 1kg","148.99","","","Fruit > Fresh Fruit > Fresh Fruit > weighted /Pcs.","","https://www.metro-markets.com/product/p/7","","",""
"Fresh Strawberry Pack - 1Kg","127.99","","","Fruit > Fresh Fruit > Fresh Fruit > weighted /Pcs.","","https://www.metro-markets.com/product/p/8","","",""
"Imported Nectarine - 1Kg","409.99","","","Fruit > Fresh Fruit > Fresh Fruit > weighted /Pcs.","","https://www.metro-markets.com/product/p/9","","",""
"Santa Rose Plum - 1Kg","139.99","","","Fruit > Fresh Fruit > Fresh Fruit > weighted /Pcs.","","https://www.metro-markets.com/product/p/10","","",""
"Imported Pineapple - 1kg","53.5","","","Fruit > Fresh Fruit > Fresh Fruit > weighted /Pcs.","","https://www.metro-markets.com/product/p/11","","",""
