"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Almarai","17.55","24.57","29","Dairy","","https://www.noon.com/long-life-milk-low-fat-plain-1liters-pack-of-4","https://f.nooncdn.com/p/pnsku/N12278277A/45/_/1711622055/bd611911-1285-42ee-8f04-837aaa1290d1.jpg","",""
"Almarai","21.95","30.73","29","Dairy","","https://www.noon.com/long-life-milk-full-fat-plain-1liters-pack-of-4","https://f.nooncdn.com/p/pnsku/N12278276A/45/_/1699186637/57a419d1-6837-4cdd-917e-241aa8c1be7f.jpg","",""
"Lacnor","18.7","26.18","29","Dairy","","https://www.noon.com/long-life-milk-full-cream-plain-1liters-pack-of-4","https://f.nooncdn.com/p/pnsku/N12279654A/45/_/1777390942/2533ca29-f01b-48d7-94b4-9eb02af39325.jpg","",""
"Almarai","6.65","8.89","25","Dairy","","https://www.noon.com/long-life-milk-lactose-free-plain-1liters","https://f.nooncdn.com/p/pnsku/N12278279A/45/_/1711621394/332ddbd3-f365-4789-a2de-6aff99825322.jpg","",""
"Almarai","4.4","6.3","30","Dairy","","https://www.noon.com/long-life-milk-low-fat-plain-1liters","https://f.nooncdn.com/p/pnsku/N29044438A/45/_/1711621571/fe1d3485-8356-4d83-8d97-ae27b8d36837.jpg","",""
"Lacnor","1.25","1.75","29","Dairy","","https://www.noon.com/long-life-milk-full-cream-plain-180ml","https://f.nooncdn.com/p/pnsku/N25262182A/45/_/1699217780/7db9ff95-e39d-4391-9c3a-2516a654c8c4.jpg","",""
"Lacnor","16","17.14","7","Dairy","","https://www.noon.com/long-life-milk-skimmed-plain-1liters-pack-of-4","https://f.nooncdn.com/p/v1627824021/N12279656A_1.jpg","",""
"Almarai","5.95","8.33","29","Dairy","","https://www.noon.com/long-life-milk-fat-free-1liters","https://f.nooncdn.com/p/pnsku/N29044439A/45/_/1699186766/e3887813-f300-473d-b162-38a4b751d19a.jpg","",""
"Lacnor","6.2","8.68","29","Dairy","","https://www.noon.com/long-life-milk-strawberry-125ml-pack-of-6","https://f.nooncdn.com/p/pnsku/N39158487A/45/_/1703085806/1547d2da-3154-407e-99b1-64755f2e087f.jpg","",""
"Lacnor","31","36.79","16","Dairy","","https://www.noon.com/long-life-milk-chocolate-180ml-pack-of-32","https://f.nooncdn.com/p/v1641206464/N39158484A_1.jpg","",""
