"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Infinix Smart 10 Dual SIM Twilight Gold 3+3GB RAM 64GB 4G - Middle East Version","5668","","100","phone","","https://www.noon.com/egypt-en/smart-10-dual-sim-twilight-gold-3-3gb-ram-64gb-4g-middle-east-version/N70182441V/p/?o=c7b5d1a0246b1e6f","","",""
"Infinix Smart 10 Dual SIM Sleek Black 3+3GB RAM 64GB 4G - Middle East Version","5699","","","phone","","https://www.noon.com/egypt-en/smart-10-dual-sim-sleek-black-3-3gb-ram-64gb-4g-middle-east-version/N70182486V/p/?o=b2214e65b65d9d8e","","",""
"Infinix Smart 10 Dual SIM 3+3GB RAM 64GB Titanium Silver - Middle East Version","5699","","","phone","","https://www.noon.com/egypt-en/smart-10-dual-sim-3-3gb-ram-64gb-titanium-silver-middle-east-version/N70182440V/p/?o=d330551b49acc12d","","",""
"Infinix Smart 10 Dual SIM Twilight Gold 3+3GB RAM 64GB 4G - Middle East Version","5968","","","phone","","https://www.noon.com/egypt-en/smart-10-dual-sim-twilight-gold-3-3gb-ram-64gb-4g-middle-east-version/N70198862V/p/?o=b5a5a9e6e64317dc","","",""
"Infinix Smart 10 Dual SIM Iris Blue 3+3GB RAM 64GB 4G- Middle East Version","5699","","","phone","","https://www.noon.com/egypt-en/smart-10-dual-sim-iris-blue-3-3gb-ram-64gb-4g-middle-east-version/N70182485V/p/?o=dd48f512f7640a9d","","",""
"Infinix Smart 10 Dual SIM Twilight Gold 4+4 GB RAM 128GB 4G - Middle East Version","6499","6999","100","phone","","https://www.noon.com/egypt-en/smart-10-dual-sim-twilight-gold-4-4-gb-ram-128gb-4g-middle-east-version/N70198879V/p/?o=a4f31bfe0fc8590a","","",""
"Infinix Smart 10 Dual SIM 4+4GB RAM 128GB Sleek Black - Middle East Version","6732","","","phone","","https://www.noon.com/egypt-en/smart-10-dual-sim-4-4gb-ram-128gb-sleek-black-middle-east-version/N70182443V/p/?o=f6af3f3e33dc050a","","",""
"Infinix Smart 10 Dual SIM Sleek Black 4+4GB RAM 128GB 4G - Middle East Version","6732","","100","phone","","https://www.noon.com/egypt-en/smart-10-dual-sim-sleek-black-4-4gb-ram-128gb-4g-middle-east-version/N70198875V/p/?o=f99c365314abdb2d","","",""
"Infinix Smart 10 Dual SIM Titanium Silver 3+3GB RAM 64GB - Middle East Version","5699","5999","5","phone","","https://www.noon.com/egypt-en/smart-10-dual-sim-titanium-silver-3-3gb-ram-64gb-middle-east-version/N70198860V/p/?o=e1a3bba196766b9a","","",""
"Infinix Smart 10 Dual SIM 4+4GB RAM 128GB Titanium Silver - Middle East Version","6399","","","phone","","https://www.noon.com/egypt-en/smart-10-dual-sim-4-4gb-ram-128gb-titanium-silver-middle-east-version/N70182442V/p/?o=d58af5f12f48542e","","",""
