"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Beko Digital Dishwasher","22071.4","24940.68","11.5","Default Category","","https://www.rayashop.com/en/beko-digital-dishwasher-13-place-settings-5-programs-stainless-steel-dvn05325x-dvn05325x-2.html","https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/g/5/g5jzvnevxhfetf6nt2h4_jywwvs25mn90xuyr.jpg","",""
"Sonai Yogurt Maker","455","462.5","1.62","Default Category","","https://www.rayashop.com/en/sonai-yogurt-maker-8-cups-white-mar-1008-10523.html","https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/o/b/obeykayqiuicvtarcxnz_kqjz8jguye9qy8kw.jpg","",""
"Devia Smart Wired In-Ear EarPods","99","119","16.81","Default Category","","https://www.rayashop.com/en/devia-smart-wired-in-ear-earpods-white-hp50w.html","https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/r/p/rpyid6p_-_imgur.jpg","",""
"Energizer Dual USB Car Charger With Micro & Type-C Cables","275","562.5","51.11","Default Category","","https://www.rayashop.com/en/energizer-dual-usb-car-charger-with-micro-type-c-cables-black-dc2blcmm-26994.html","https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/o/0/o0aeox3gj0vg6c13x0ah_seagvljbeib3ukbk.jpg","",""
"SAMSUNG 3.5mm Wired In-Ear Earphones with Microphone","499","623.75","20","Default Category","","https://www.rayashop.com/en/samsung-35mm-wired-in-ear-earphones-with-microphone-black-eo-1a500-29252.html","https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/y/j/yjah5jmcitnpucd56m3p_erllvk4yeo7xtkzr.jpg","",""
"Tank Pro Filter","1999","2258.87","11.5","Default Category","","https://www.rayashop.com/en/tank-pro-filter-3-stages-white-108.html","https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/v/a/val3lvotfbovolareqtg_yytpzwkepkghvecw.jpg","",""
"SAMSUNG Canister Vacuum Cleaner","5599","6326.87","11.5","Default Category","","https://www.rayashop.com/en/samsung-canister-vacuum-cleaner-2000-watt-blue-vc20m2510wbgt-251.html","https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/f/n/fnfuywckfg5ecdgvvki5_jbrarntgjqqid0wp.jpg","",""
"SAMSUNG Canister Bagless Vacuum Cleaner","5399","6100.87","11.5","Default Category","","https://www.rayashop.com/en/samsung-canister-bagless-vacuum-cleaner-1800-watt-blue-vcc4540s36egt-24963.html","https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/u/l/uljegclkw6pkpni8pq4b_e0empscpqkevlstq.jpg","",""
"BLACK+DECKER Sandwich Maker","1779","2010.27","11.5","Default Category","","https://www.rayashop.com/en/blackdecker-sandwich-maker-600-watt-black-ts1000-b5-27107.html","https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/p/s/psmt7qpdfmsso1g1wotu_5vjhtnujtqn9dmsk.jpg","",""
"Braun MultiQuick 3 Electric Kettle, 1.","3199","3614.87","11.5","Default Category","","https://www.rayashop.com/en/braun-multiquick-3-electric-kettle-17-liter-2200-watt-red-wk300-15946.html","https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/m/w/mwgfcqyiiczr03kqlgjq_v1nwo972g1nbri4h.jpg","",""
