"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"China -Fine-Art Charcoal Pencil Soft Cpcl03 / S","30","","","art & craft > shop by category","China-Fine-Arts","https://samirandaly.com/en/26014280103.html","https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/2/6/26014280103_5.jpg","in_stock","Samir & Aly"
"Jovi Twist Face Paint Green","57","","","art & craft","Jovi","https://samirandaly.com/en/00920120859.html","https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/00920120859.jpeg","in_stock","Samir & Aly"
"Jovi Plastic Clay Letters Bag No. 7A","263","","","other > shop by category","Jovi","https://samirandaly.com/en/00920508008.html","https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/00920508008-1.jpg","in_stock","Samir & Aly"
"Jovi Plastic Clay Fruits Bag No. 7F","252","","","other > shop by category","Jovi","https://samirandaly.com/en/00920508012.html","https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/8/4/8412027029278-1.jpg","in_stock","Samir & Aly"
"Jovi Plastic Clay Numbers Bag No. 7N","252","","","other > shop by category","Jovi","https://samirandaly.com/en/00920508013.html","https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/8/4/8412027024303-1_1.jpg","in_stock","Samir & Aly"
"قلم رصاص0.7 روترينج رقم 800 فضى SO 1904448","3500","","","other > \u062a\u0633\u0648\u0642 \u0628\u0644\u0623\u0642\u0633\u0627\u0645","ROTRING","https://samirandaly.com/ar/0011904448.html","https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0011904448_2.jpg","in_stock","Samir & Aly"
"قلم تيكي جرب 0.7مم ابيض رقم 1904506","199","","","other > \u062a\u0633\u0648\u0642 \u0628\u0644\u0623\u0642\u0633\u0627\u0645","ROTRING","https://samirandaly.com/ar/0011904506.html","https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0011904506_8.jpg","in_stock","Samir & Aly"
"قلم تيكي جرب 0.7مم احمر رقم 1904507","199","","","other > \u062a\u0633\u0648\u0642 \u0628\u0644\u0623\u0642\u0633\u0627\u0645","ROTRING","https://samirandaly.com/ar/0011904507.html","https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0011904507_2.jpg","in_stock","Samir & Aly"
"قلم تيكي جرب 0.7مم Blue رقم 1904508","199","","","other > \u062a\u0633\u0648\u0642 \u0628\u0644\u0623\u0642\u0633\u0627\u0645","ROTRING","https://samirandaly.com/ar/0011904508.html","https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0011904508_15.jpg","in_stock","Samir & Aly"
"قلم تيكي جرب 0.35 مم أسود رقم SO1904694","199","","","other > \u062a\u0633\u0648\u0642 \u0628\u0644\u0623\u0642\u0633\u0627\u0645","ROTRING","https://samirandaly.com/ar/0011904694.html","https://samir-and-aly-stationaries.fra1.cdn.digitaloceanspaces.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/0/0/0011904694_2.jpg","in_stock","Samir & Aly"
