"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Packed Mixed Grapes - 500 g","65.95","","","Fruits & Vegetables > Fruits","N/A","https://seoudisupermarket.com/en/packed-mixed-grapes-500-g","https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/1/6/161848_1.jpg?width=200","In Stock",""
"Eva Grow Omani White Mulberries - 200 g","62.95","","","Fruits & Vegetables > Fruits","N/A","https://seoudisupermarket.com/en/eva-grow-omani-white-mulberries-200-g","https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223004379581_-_add_200_g.jpg?width=200","In Stock",""
"Imported Avocados","84.97","97.47","13","Fruits & Vegetables > Fruits","N/A","https://seoudisupermarket.com/en/imported-avocados","https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000645000000.jpg?width=200","In Stock",""
"Imported Banana","69.97","","","Fruits & Vegetables > Fruits","N/A","https://seoudisupermarket.com/en/imported-banana","https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000615000000.jpg?width=200","In Stock",""
"Baladi Bananas","27.48","","","Fruits & Vegetables > Fruits","N/A","https://seoudisupermarket.com/en/baladi-bananas","https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000613000000.jpg?width=200","In Stock",""
"Sweet Peaches","49.98","","","Fruits & Vegetables > Fruits","N/A","https://seoudisupermarket.com/en/sweet-peaches","https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000624000000.jpg?width=200","In Stock",""
"Imported Flat Peaches","84.97","","","Fruits & Vegetables > Fruits","N/A","https://seoudisupermarket.com/en/imported-flat-peaches","https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000318000000_1.png?width=200","In Stock",""
"African Pears","129.97","","","Fruits & Vegetables > Fruits","N/A","https://seoudisupermarket.com/en/african-pears","https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000685000000.jpg?width=200","In Stock",""
"Orange for Juice - 2 kg","59.95","","","Fruits & Vegetables > Fruits","N/A","https://seoudisupermarket.com/en/orange-for-juice-2-kg","https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/1/5/155039_2_kg.jpg?width=200","In Stock",""
"Al Ekhwa Egyptian Mixed Grapes - 1 kg","119.95","","","Fruits & Vegetables > Fruits","N/A","https://seoudisupermarket.com/en/al-ekhwa-egyptian-mixed-grapes-1-kg","https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/1/6/160045.jpg?width=200","In Stock",""
