"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Samsung Odyssey G7 G70D 32"" – 4K IPS","27999","","","Gaming Monitor","Samsung","https://sigma-computer.com/en/item?id=samsung-odyssey-g7-g70d-32-4k-ips-144hz-1ms-hdr400-freesync-g-sync-hdmi-21-tizen-os-built-in-speakers-nphnekluhith","http://api.sigma-computer.com/media/833f6af5-1d0a-4630-bdf4-f7ecdb61d0a4","",""
"Samsung LS24D300GAMXUE – 24-INCH FHD IPS","4699","","","Business Monitor","Samsung","https://sigma-computer.com/en/item?id=samsung-ls24d300gamxue-24-inch-fhd-ips-100hz-5ms-250cdm2-10001-contrast-hdmi-d-sub-flicker-free-eye-saver-mode-vesa-mount-100x100-ioqp2dwi6ihn","","",""
"Samsung LS27D300GAMXUE 27"" IPS FHD 100Hz monitor","5399","","","Business Monitor","Samsung","https://sigma-computer.com/en/item?id=samsung-ls27d300gamxue-27-ips-fhd-100hz-monitor-5ms-gtg-250-cdm2-brightness-1x-hdmi-1x-vga-eye-saver-mode-flicker-free-25w-power-ic1c8o8hzq10","","",""
"Lenovo LOQ 15IRX10 83JE00DAED Intel Core i7-14700HX","64499","","","Gaming Laptop's","Lenovo","https://sigma-computer.com/en/item?id=lenovo-loq-15irx10-83je00daed-intel-core-i7-14700hx-nvidia-rtx-5050-8gb-24gb-ddr5-4800mhz-156-inch-fhd-ips-144hz-100-srgb-windows-11-zn5beiftg7st","","",""
"Gigabyte Radeon RX 9070 GAMING OC 16G","36500","","","AMD RADEON","Gigabyte","https://sigma-computer.com/en/item?id=gigabyte-radeon-rx-9070-gaming-oc-16g-mth8yfhac1vr","http://api.sigma-computer.com/media/ccf3064b-c810-4c28-972a-2d559f83f24f","",""
"Ocypus Iota L36 White 360MM AIO Liquid Cooler With Dot-Matrix Digital Display","4399","","","Liquid Cooler","Ocypus","https://sigma-computer.com/en/item?id=ocypus-iota-l36-white-360mm-aio-liquid-cooler-with-dot-matrix-digital-display-i2zb7z7xr9vj","http://api.sigma-computer.com/media/5191e076-c534-4cd0-82eb-1468038eb0fd","",""
"VIEWSONIC 27'' VX27G1-2K VS20543 (QHD-IPS-180Hz-2560x1440)","9199","9399","2","Gaming Monitor","Viewsonic","https://sigma-computer.com/en/item?id=viewsonic-27-vx27g1-2k-vs20543-qhd-ips-180hz-2560x1440-it1l9y6aamjl","http://api.sigma-computer.com/media/ad4b5f11-5122-4a8d-8010-02813f9a08c2","",""
"AOC Gaming 24G4H","6799","","","Gaming Monitor","AOC","https://sigma-computer.com/en/item?id=aoc-gaming-24g4h-24-inch-full-hd-200hz-fast-ips-03ms-stand-adjustments-0jjt7nzrjgpx","http://api.sigma-computer.com/media/17c4688f-3a4e-43d6-b16e-4eb94bac545a","",""
"ANTEC AX65 4Fan 120M ARGB+PSU Antec Atom V650","3349","","","Mid Tower","Antec","https://sigma-computer.com/en/item?id=antec-ax65-4fan-120m-argbpsu-antec-atom-v650-3years-warranty-for-psu-lnpvbtufqp6i","http://api.sigma-computer.com/media/4229dbb5-4b70-4155-9483-ca4f530c4e7f","",""
"Cooler Master GX II Gold 850W ATX 3.0 80+ Gold Fully Modular PSU – PCIe 5.0 Ready","4900","","","Full modular","Cooler Master","https://sigma-computer.com/en/item?id=cooler-master-gx-ii-gold-850w-atx-30-80-gold-fully-modular-psu-pcie-50-ready-c1fwhiyma94h","http://api.sigma-computer.com/media/78ec2b82-81d2-4695-a42b-56f2e47a5fb7","",""
