"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"The OG Glow Dry Oil","550","","","pharmacy > body care","Braes","https://sourcebeauty.com/products/braes-the-og-glow-dry-oil?variant=52594648416543","https://cdn.shopify.com/s/files/1/0684/4923/9327/files/Braes-The_OG_Glow_Dry_Oil_50ml-Source-Beauty-egypt.png?v=1780832393","in_stock","Source Beauty"
"Attractive Lady Perfume Oil","290","","","beauty > fragrance","Izla","https://sourcebeauty.com/products/izla-attractive-lady-perfume-oil?variant=51187275366687","https://cdn.shopify.com/s/files/1/0684/4923/9327/files/Izla-AttractiveLadyPerfumeOil-source-beauty-egypt.png?v=1781169905","in_stock","Source Beauty"
"Candy Blossom Perfume Oil","290","","","beauty > fragrance","Izla","https://sourcebeauty.com/products/izla-candy-blossom-perfume-oil?variant=51187275464991","https://cdn.shopify.com/s/files/1/0684/4923/9327/files/Izla-CandyBlossomPerfumeOil-source-beauty-egypt.png?v=1781169864","in_stock","Source Beauty"
"Demure Perfume Oil","290","","","beauty > fragrance","Izla","https://sourcebeauty.com/products/izla-demure-perfume-oil?variant=51187275563295","https://cdn.shopify.com/s/files/1/0684/4923/9327/files/Izla-DemurePerfumeOil-source-beauty-egypt.png?v=1781169813","in_stock","Source Beauty"
"Pure Vanilla Perfume Oil","290","","","beauty > fragrance","Izla","https://sourcebeauty.com/products/izla-pure-vanilla-perfume-oil?variant=51187275661599","https://cdn.shopify.com/s/files/1/0684/4923/9327/files/Izla-PureVanillaPerfumeOil-source-beauty-egypt.png?v=1781169727","in_stock","Source Beauty"
"Nayomi Perfume","850","","","beauty > fragrance","Go Natural","https://sourcebeauty.com/products/go-natural-nayomi-perfume?variant=52496764829983","https://cdn.shopify.com/s/files/1/0684/4923/9327/files/Go_Natural-Nayomi-Source-Beauty-egypt.png?v=1777897936","in_stock","Source Beauty"
"Silky Musk Perfume Oil","420","","","beauty > fragrance","Go Natural","https://sourcebeauty.com/products/go-natural-silky-musk-perfume-oil?variant=52496764764447","https://cdn.shopify.com/s/files/1/0684/4923/9327/files/Go_Natural-Silky_Musk_Perfume_Oil-Source-Beauty-egypt.png?v=1777897934","in_stock","Source Beauty"
"Discovery Set","495","","","beauty > fragrance","Go Natural","https://sourcebeauty.com/products/go-natural-discovery-set?variant=52496764797215","https://cdn.shopify.com/s/files/1/0684/4923/9327/files/Go_Natural-Discovery_Set-source-beauty-egypt.png?v=1778663752","in_stock","Source Beauty"
"Creme Brulee Perfume Balm","599","","","beauty > fragrance","Go Natural","https://sourcebeauty.com/products/go-natural-creme-brulee-perfume-balm?variant=52496764731679","https://cdn.shopify.com/s/files/1/0684/4923/9327/files/Go_Natural-Perfume_Balm-Source-Beauty-egypt.png?v=1777897934","in_stock","Source Beauty"
"Madagascar Vanilla Perfume Balm","599","","","beauty > fragrance","Go Natural","https://sourcebeauty.com/products/go-natural-madagascar-vanilla-perfume-balm?variant=52496764698911","https://cdn.shopify.com/s/files/1/0684/4923/9327/files/Go_Natural-Perfume_Balm-Source-Beauty-egypt.png?v=1777897934","in_stock","Source Beauty"
