"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Panadol Advance 500mg Paracetamol for Pain & Fever Relief, 48 Tablets","92","92","0","Medicines","","","https://talabat.dhmedia.io/image/product-information-management/68ff0c9b47a128af70de9181.jpg","40","Al Ain Pharmacies"
"Panadol Extra With Optizorb For Tough Pain Relief, 24 Tablets","58","58","0","Medicines","","","https://talabat.dhmedia.io/image/product-information-management/68ff0d5b6a749d05db36bcc8.jpg","20","Al Ain Pharmacies"
"Panadol 500mg Acetaminophen for Acute Head Cold & Flu Relief, 20 Tablets","62","62","0","Medicines","","","https://talabat.dhmedia.io/image/product-information-management/68c29a535d9e5c3043f792aa.JPG","24","Al Ain Pharmacies"
"Panadol Extra With Optizorb For Tough Pain Relief, 48 Tablets","116","116","0","Medicines","","","https://talabat.dhmedia.io/image/product-information-management/68ff0d4338fe95913785a0e5.jpg","11","Al Ain Pharmacies"
"Antinal 200mg Nifuroxazide for Treating Diarrhea, 24 Capsules","52","52","0","Medicines","","","https://talabat.dhmedia.io/image/product-information-management/68bdb256754b2cdae919d1d2.jpg","30","Al Ain Pharmacies"
"Cetal 500mg Paracetamol Analgesic & Antipyretic, 20 Tablets","24","24","0","Medicines","","","https://talabat.dhmedia.io/image/product-information-management/68bdb792754b2cdae91dde4f.JPG","1","Al Ain Pharmacies"
"Gaviscon Double Action 500mg/10ml Sodium Alginate, 213mg/10ml Sodium Bicarbonate & 325mg/10ml Calcium Carbonate Oral Suspension Liquid Peppermint Flavor for Heartburn & Indigestion Relief (12+ Years), 150ml","144","144","0","Medicines","","","https://talabat.dhmedia.io/image/product-information-management/68df7c06cfef70d93a231663.JPG","12","Al Ain Pharmacies"
"Gaviscon Double Action Liquid Sachets Mint Flavor with Sodium Alginate, Sodium Bicarbonate & Calcium Carbonate for Heartburn & Indigestion Relief, 24x10ml","288","288","0","Medicines","","","https://talabat.dhmedia.io/image/product-information-management/68c29a055d9e5c3043f77757.JPG","12","Al Ain Pharmacies"
"Ondalenz 4mg Ondansetron Anti-Emetic Medication, 5 Pieces","160","160","0","Medicines","","","https://talabat.dhmedia.io/image/product-information-management/6902369864d3b816f63a4fe2.JPG","7","Al Ain Pharmacies"
"Ondalenz 8mg Ondansetron Anti-Emetic Medication, 5 Pieces","265","265","0","Medicines","","","https://talabat.dhmedia.io/image/product-information-management/6902369864d3b816f63a4fe1.JPG","6","Al Ain Pharmacies"
