"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Cantaloupe 2kg","67.98","","","Fruit & Veg > Fresh Fruit","","https://www.talabat.com/egypt/grocery/783635/kheir-zaman-mahallat-el-borg-el-mahalla-el-kubra-k132/fruit-veg/fresh-fruit?aid=10768","https://talabat.dhmedia.io/image/product-information-management/673c3c4e0f2fe538108b1fa3.png","","Kheir Zaman"
"Garlic - Local 250g","31.25","","","Fruit & Veg > Fresh Vegetables","","https://www.talabat.com/egypt/grocery/783635/kheir-zaman-mahallat-el-borg-el-mahalla-el-kubra-k132/fruit-veg/fresh-vegetables?aid=10768","https://talabat.dhmedia.io/image/product-information-management/67d29d0c9b137dbd86c936b2.jpg","","Kheir Zaman"
"K.Z White Cabbage 1Pc.","19.99","","","Fruit & Veg > Herbs & Leafy Greens","","https://www.talabat.com/egypt/grocery/783635/kheir-zaman-mahallat-el-borg-el-mahalla-el-kubra-k132/fruit-veg/herbs-leafy-greens?aid=10768","https://talabat.dhmedia.io/image/nv-eg/Amart/AB01904.jpg","","Kheir Zaman"
"Abu Auf Maamoul Date&Cinnamon - 1Pc","8.25","","","Fruit & Veg > Dates & Dried Fruit","","https://www.talabat.com/egypt/grocery/783635/kheir-zaman-mahallat-el-borg-el-mahalla-el-kubra-k132/fruit-veg/dates-dried-fruit?aid=10768","https://talabat.dhmedia.io/image/product-information-management/698db50fd3ac600200bf9c5f.jpg","","Kheir Zaman"
"Larch Melt Cocoa Cake with Chocolate Sauce, 55g","11","","","Bakery > Fresh Bakes & Pastries","","https://www.talabat.com/egypt/grocery/783635/kheir-zaman-mahallat-el-borg-el-mahalla-el-kubra-k132/bakery/fresh-bakes-pastries?aid=10768","https://talabat.dhmedia.io/image/product-information-management/679f452d677c3d54a52c0666.JPG","","Kheir Zaman"
"Domty Chocolate Croissant, 90g","15","","","Bakery > Pastries","","https://www.talabat.com/egypt/grocery/783635/kheir-zaman-mahallat-el-borg-el-mahalla-el-kubra-k132/bakery/pastries?aid=10768","https://talabat.dhmedia.io/image/product-information-management/6809fbee5e0c1a06eedb666a.JPG","","Kheir Zaman"
"Koki Whole Chicken, 1000-1100g","197.99","","","Poultry, Meat & Seafood > Chicken & Poultry","","https://www.talabat.com/egypt/grocery/783635/kheir-zaman-mahallat-el-borg-el-mahalla-el-kubra-k132/poultry-meat-seafood/chicken-poultry?aid=10768","https://talabat.dhmedia.io/image/darkstores-eg/EGY_6223000041086.JPG","","Kheir Zaman"
"USA Beef Liver (Frozen) 1K 750g","142.49","","148.49","Poultry, Meat & Seafood > Beef & Veal","","https://www.talabat.com/egypt/grocery/783635/kheir-zaman-mahallat-el-borg-el-mahalla-el-kubra-k132/poultry-meat-seafood/beef-veal?aid=10768","https://talabat.dhmedia.io/image/nv-eg/Amart/AE94911.jpg","","Kheir Zaman"
"Elleheimy Beef Frankfurter, 300g","83.99","","","Poultry, Meat & Seafood > Cold Cuts","","https://www.talabat.com/egypt/grocery/783635/kheir-zaman-mahallat-el-borg-el-mahalla-el-kubra-k132/poultry-meat-seafood/cold-cuts?aid=10768","https://talabat.dhmedia.io/image/product-information-management/663bd2158eb8cb86567f8d78.png","","Kheir Zaman"
"Stabia Sambousek, 350g","34.5","","","Ready To Eat > Starters & Sides","","https://www.talabat.com/egypt/grocery/783635/kheir-zaman-mahallat-el-borg-el-mahalla-el-kubra-k132/ready-to-eat/starters-sides?aid=10768","https://talabat.dhmedia.io/image/nv-eg/KHZ/DA00878.jpg","","Kheir Zaman"
