"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Barbie Doll, Rainbow Princess","599","","","baby products > toys","Barbie","https://www.toptoyseg.com/product/%e2%80%8bbarbie-doll-rainbow-princess/","https://www.toptoyseg.com/wp-content/uploads/2020/06/81vyZyWYG2L._AC_SL1500_.jpg","out_of_stock","Top Toys"
"Serina Swing 2in1 In the Rain","4890","","","baby products > nursery and bathing","Joie","https://www.toptoyseg.com/product/%d9%8dserina-swing-2in1-in-the-rain/","https://www.toptoyseg.com/wp-content/uploads/2018/08/w1306abitr000_serina2in1_rtang_cs_cc_hr1-1-1-1.jpg","out_of_stock","Top Toys"
"1/14 Scale 2.4Ghz Remote Control Car for Ferrari","2899","","","baby products > toys","Ferrari","https://www.toptoyseg.com/product/1-14-scale-2-4ghz-remote-control-car-for-f-errari/","https://www.toptoyseg.com/wp-content/uploads/2025/04/6155FqMBitL.jpg","in_stock","Top Toys"
"1/14 R/C Lamborghini Centenario","950","","","baby products > toys","Maisto","https://www.toptoyseg.com/product/1-14-r-c-lamborghini-centenario/","https://www.toptoyseg.com/wp-content/uploads/2020/08/090159812753MAISTOAUTOR2FC13A14LAMBOCENTEN81275-min-500x500.jpg","out_of_stock","Top Toys"
"1/14 McLaren P1","999","","","baby products > toys","Rastar","https://www.toptoyseg.com/product/1-14-mclaren-p1/","https://www.toptoyseg.com/wp-content/uploads/2022/01/rm7757c-1-c995-zec2.jpg","out_of_stock","Top Toys"
"Barbie Baby Doctor Doll with Blonde Fashion Doll","1895","","","baby products > toys","Barbie","https://www.toptoyseg.com/product/%e2%80%8bbarbie-baby-doctor-doll-with-blonde-fashion-doll/","https://www.toptoyseg.com/wp-content/uploads/2025/04/71znkGGeNLL._AC_SL1500_.jpg","in_stock","Top Toys"
"1: 18 2014 Corvette Stin (Colors May Vary)","1000","","","baby products > toys","Maisto","https://www.toptoyseg.com/product/1-18-2014-corvette-stingray-colors-may-vary/","https://www.toptoyseg.com/wp-content/uploads/2019/08/4.jpg","out_of_stock","Top Toys"
"1: 18 Lamborghini Centenario (Colors May Vary)","1100","","","baby products > toys","Maisto","https://www.toptoyseg.com/product/1-18-lamborghini-centenario-colors-may-vary/","https://www.toptoyseg.com/wp-content/uploads/2019/08/71aocfk5CRL._SL1500_.jpg","out_of_stock","Top Toys"
"1: 18 2017 50th Anniversary Chevrolet Camaro (Colors May Vary)","2700","","","baby products > toys","Maisto","https://www.toptoyseg.com/product/1-18-2017-50th-anniversary-chevrolet-camaro-colors-may-vary/","https://www.toptoyseg.com/wp-content/uploads/2021/06/81Rbb20blL._AC_SL1500_.jpg","out_of_stock","Top Toys"
"1/16 Engineering Construction Truck Excavator Digger Vehicle Cars for Kids Toys","230","","","baby products > toys","Summer 2019","https://www.toptoyseg.com/product/1-16-engineering-construction-truck-excavator-digger-vehicle-cars-for-kids-toys/","https://www.toptoyseg.com/wp-content/uploads/2019/05/s-l1600.jpg","out_of_stock","Top Toys"
